headline,date,description
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
"65% of SME survey respondents believe Malta needs to redefine its strategy, direction going forward","Monday, 8 May 2023, 14:37","According to the Malta Chamber of Small and Medium Sized businesses (SME)'s barometer for the first quarter of 2023, businesses would like to give priority to an economy of quality rather than..."
"MTA lauds Q1 tourism results, as Minister says discussion is now on ‘quality’ rather than 'quantity'","Monday, 8 May 2023, 14:28","The Ministry for Tourism and the Malta Tourism Authority on Monday lauded the results in the tourism sector in the first quarter of the year, with Tourism Minister Clayton Bartolo saying that the..."
Malta has fifth highest workforce participation rate in the EU – Clyde Caruana,"Monday, 8 May 2023, 14:00","Malta has the 5th highest percentage of workers participating in the workforce when compared to the rest of the European Union, Finance Minister Clyde Caruana said during a Labour Party press..."
"Almost 175,000 tourists visited Malta during March","Monday, 8 May 2023, 12:03","An estimated total of 174,382 tourists visited Malta during March this year, spending 1,057,589 night in the country, the National Statistics Office said on Monday, A total of 150,523 inbound..."
Workers Day – a prognosis of what to harvest,"Sunday, 7 May 2023, 09:06","Prime Minister Robert Abela has called for a ""discussion"" about reforming planning laws to effectively freeze developments until appeals processes are exhausted.  Robert Abela was previously..."
BDO Global Audit & Assurance meeting held in Malta,"Friday, 5 May 2023, 14:45","The BDO Global Audit and Assurance team chose Malta as the destination for its latest global meeting, visiting BDO Malta to join in the 45th anniversary celebrations of the firm since its..."
BOV Asset Management Ltd launches the Global Multi-Asset Thematic 60 Fund managed by Fidelity Int,"Friday, 5 May 2023, 14:00","BOV Asset Management has just dropped another fund on the local market - Global Multi-Asset Thematic 60 Fund, which is a fund managed by Fidelity International. BOV Asset Management has been the..."
Issuance of call for applications for the establishing of the Register of Insolvency Practitioners,"Friday, 5 May 2023, 11:52",The Insolvency and Receivership Service within the Malta Business Registry is issuing a call for applications for provisional authorisation to act in the field of dissolution and insolvency in terms...
"Emirates and Etihad announce interline expansion, offering better itinerary options to boost UAE tou","Friday, 5 May 2023, 11:51",Emirates Airline and Etihad Airways have signed a Memorandum of Understanding (MoU) to expand their interline agreement and provide travellers additional itinerary options when visiting the UAE. This...
Mazars in Malta inaugurates new premises as part of 25th Anniversary celebrations,"Friday, 5 May 2023, 11:49","Minister for Finance and Employment Clyde Caruana today inaugurated the new offices of Mazars in Malta, in the presence of H.E. The Ambassador of France, Agnès von der Mühll. The event..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Tech companies should mainstream concept of flexibility,"Friday, 5 May 2023, 11:46","Tech companies should ensure that remote working remains an integral part of the job package to encourage more women to choose a career in the industry, according to a software development..."
MFSA Issues Guidance to SNS REAAL and SNS Bank Bondholders on Compensation Claims,"Friday, 5 May 2023, 11:30",The Malta Financial Services Authority has issued guidance on the application procedure which investors are to follow to claim compensation from the Dutch Government for bonds held with SNS...
Grant for petrol powered motorbikes deemed a success as budget is fully allocated,"Thursday, 4 May 2023, 14:15","A grant for petrol-powered motorcycles which was intended to promote the use of less polluting vehicles has been fully allocated, Transport Malta said in a statement. The authority said that the..."
Europa 2023: Peace – the highest value of humanity,"Thursday, 4 May 2023, 12:54",The EUROPA postage stamp is an annual joint issue of stamps with a common design or theme by postal administrations of member countries of the PostEurop Association. EUROPA stamps promote philately...
"Malta Public Transport launches ""Rate My Trip"" feature on Tallinja App","Thursday, 4 May 2023, 12:52","As part of Malta Public Transport's efforts to continuously enhance their service to the public, the company is announcing the release of ""Rate My Trip"" feature available only on the Tallinja..."
BNF Bank continues to support Maltese Literacy Efforts,"Thursday, 4 May 2023, 12:51","In a collaborative exercise with the National Literacy Agency, for World Book Day celebrated on Sunday 23 April, BNF Bank donated the second Maltese book from the series Karamellu tar-Raħal..."
APS Personal Pension Plan top up offer launched,"Thursday, 4 May 2023, 12:50","The APS Personal Pension Plan has now been made even more attractive for new subscribers, with a generous financial offer. For new pension plans opened until the end of May 2023, APS Bank plc will be..."
Employee and member scheme offers by APS Bank,"Thursday, 4 May 2023, 12:49",APS Bank plc partners with numerous organisations to offer their employees and members special terms and benefits on a suite of APS Bank products and services. These bespoke schemes have been made...
Mellieha branch secures Frank Salt Real Estate’s most coveted best branch award for 2022,"Thursday, 4 May 2023, 12:48","Frank Salt Real Estate's Mellieha team has clinched the prestigious ""Best Branch for 2022"" title during the company's recent Annual General Conference. The award acknowledges the outstanding..."
FinanceMalta attends its first WAIFC Board of Directors meeting,"Thursday, 4 May 2023, 11:11",FinanceMalta participated in the Board of Directors' and Extraordinary General Meeting of the World Alliance of International Financial Centers (WAIFC) in London on 18-21 April.  This was...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
BOV reports €46.5 million pre-tax profit for the first quarter of 2023,"Thursday, 4 May 2023, 10:40","The BOV Group has reported a Profit before Tax of €46.5 million for the first quarter of 2023, up by €24 million from the same period last year, according to a company..."
VisitMalta becomes an official partner with Giro d’Italia 2023,"Wednesday, 3 May 2023, 19:42",The Malta Tourism Authority has announced a partnership between VisitMalta and Giro d’Italia 2023.  The MTA will be the official sponsor for Giro d’Italia which will have the...
How Did Ontario's New Regulations Affect Malta's Gaming Industry?,"Tuesday, 2 May 2023, 18:11","Ontario’s new gambling industry has impacted gaming worldwide, especially in Malta’s online gaming industry. How do these markets influence each other? Ontario’s gambling..."
Von der Heyden Group reports a 32% increase in overall turnover with improved profitability,"Saturday, 29 April 2023, 09:50","Von der Heyden Group's holding company TIMAN Investments Holdings Limited, reported its consolidated results for 2022 that saw a 32% increase in the Group's overall revenue, reaching €15.2..."
Jonathan Borg named new CEO of Transport Malta,"Saturday, 29 April 2023, 08:48","Jonathan Borg is the new chief executive officer of Transport Malta, the government said, Saturday. He will effectively take over as from 1 May, replacing Brig Jeffrey Curmi. Borg has a..."
Alfred Mifsud appointed as Arbiter for Financial Services,"Friday, 28 April 2023, 17:17","Alfred Mifsud has been appointed as Arbiter for Financial Services. ""Mr Mifsud has vast experience in this sector. He has held several senior positions in different institutions, including..."
Lombard Bank posts pre-tax profit of €27.7 million in 2022,"Friday, 28 April 2023, 10:40",The Board of Directors of Lombard Bank Malta p.l.c. yesterday approved the Annual Report and Audited Financial Statements for the financial year ended 31 December 2022.  In a notice on the Malta...
Prohealth completes TrioMed Ltd acquisition,"Thursday, 27 April 2023, 10:26","Prohealth has completed the acquisition of TrioMed Ltd, a leading local supplier of medical equipment representing international market leading brands that include Philips Healthcare, Hologic, Linet,..."
Property Valuation: A Practical Approach,"Wednesday, 26 April 2023, 11:21","A workshop themed  was held on 18 April 2023, organised by the Malta Bankers' Association (MBA) and Archi+, in collaboration with il-Kamra tal-Periti (KTP) and supported by Bank of Valletta. The..."
The Gollcher Charity walk 2023 in aid of Hospice Malta,"Wednesday, 26 April 2023, 09:43","The Gollcher Group is organizing a charity walk in aid of Hospice Malta, which is a voluntary organisation. It exists to provide and promote the highest standards of Palliative care for persons with..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
MAPFRE MSV Life launches The Guaranteed Capital & Income Plan 2026,"Tuesday, 25 April 2023, 15:34","MAPFRE MSV Life announced the launch of its latest insurance-based investment product, The Guaranteed Capital & Income Plan 2026.  The Guaranteed Capital & Income Plan 2026 is a single..."
The Convenience Shop (Holding) p.l.c. registers €2.6 million (+63%) pre-tax profits for 2022,"Monday, 24 April 2023, 11:27","The Convenience Shop (Holding) p.l.c. registered a profit before tax of €2.6 million for the year ended 31 December 2022, up 63% on the previous year, whilst noting that total Revenue, including..."
medirectalk explores potential of high yield bonds in 2023,"Monday, 24 April 2023, 11:23","A recent medirectalk saw senior representatives from specialist fund management firm Liontrust address investors in Malta on the potential of high yield bonds. Organised regularly by MeDirect Bank,..."
Bolt launches a category for people with reduced mobility needs,"Sunday, 23 April 2023, 09:25","Bolt, the first European super-app partnered with GasanZammit Motors and Ferruggia Fleet to launch a category for people with reduced mobility needs. This service shall be provided exclusively via..."
EY Engage returns on 1 June,"Sunday, 23 April 2023, 09:20","Following the success of the first EY Engage in 2022, the inaugural Technology Forum returns to the Westin Dragonara Resort, St Julian's on 1 June. This year, the conference will be spread on a..."
10 Students inducted into the Faculty of Arts’ Dean’s List,"Sunday, 23 April 2023, 09:15",Ten University students were inducted into the Dean's List within the Faculty of Arts at the University of Malta. The Dean's List follows very stringent criteria where students need to obtain a Grade...
MaltaPost awards employees at annual staff meeting,"Sunday, 23 April 2023, 09:10","MaltaPost employees were given an update on the company's performance for the previous year by chairman Joseph Said at the Annual Staff Meeting held recently at the Westin Dragonara Resort, St..."
Skills’ shortage main challenge facing Malta’s HR profession,"Sunday, 23 April 2023, 09:05","Finding the right talent and necessary skills is one of the biggest challenges facing business operations in Malta, according to the Foundation for Human Resources Development's FHRD Board member..."
Laferla appoints Dr Stephen Thake as new non-executive director,"Sunday, 23 April 2023, 09:00","The Laferla Group has announced the appointment of Dr Stephen Thake as a Non-Executive Director on all its locally registered companies, following regulator approval in January 2023. Dr Thake has been..."
APS Bank speaker engagements,"Sunday, 16 April 2023, 09:40",APS Bank members of staff are regularly invited to share their professional knowledge and experience at various local and international fora. Here are some highlights from the first few months of...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Seven new branch managers appointed at BOV,"Sunday, 16 April 2023, 09:39","In a bid to strengthen its Branch network and enhance the retail business, Bank of Valletta has appointed seven new Branch Managers who will be filling up vacant places at several of its branches..."
"The Convenience Shop Group Donates €20,000 to Puttinu Cares' Charity Fundraiser","Sunday, 16 April 2023, 09:36","The Convenience Shop Group has announced that it has donated €20,000 to Puttinu Cares, the charity organization that offers support to cancer patients and their families. The donation was made..."
APS Bank staff member breaks new ground as first Certified Customer Experience Professional (CCXP,"Sunday, 16 April 2023, 09:36","Scott Lee Holloway, Voice of the Customer Manager, recently became the first recipient of the Certified Customer Experience Professional (CCXP) credential in the Maltese Islands. The CCXP, issued by..."
PKF – a successful renewables and ESG conference,"Sunday, 16 April 2023, 09:34",This week a renewable energy and ESG conference was hosted by PKF in collaboration with Times of Malta at the Hilton. This event was well attended and managed to pack various technical...
"Young people leaving Malta, low fertility rate increase demand for foreign labour – MEA president","Sunday, 16 April 2023, 07:30",There is currently a high demand for foreign labour as more Maltese young people are leaving Malta to work abroad and there’s been a significant change in Malta’s demographic due to...
How High the Monitors Should Be?,"Friday, 7 April 2023, 09:56","For a growing number of us, computers are playing an increasingly important role in our lives. Many people throughout Australia and in other countries spend hours and hours every day on..."
Gaming tech trends of 2023,"Monday, 3 April 2023, 12:19","The global market is saturated with all kinds of businesses and sectors that have utilized modern technology to get ahead and stand out among their competitors. In recent years, gaming technology has..."
"BOV reports €48.7 million before tax for 2022, no dividend for shareholders","Thursday, 30 March 2023, 15:15","Bank of Valletta Group on Thursday announced the financial results for Financial Year ended 31 December 2022, reporting a profit before tax of €48.7 million.  Excluding the effect of the..."
Von der Heyden Group acquires sought after property in Menorca,"Thursday, 30 March 2023, 12:51",European investment firm Von der Heyden Group headquartered in Malta has acquired a prominent location on the waterfront of the Mahón Marina in Menorca. The Group has been established in...
"Farsons Foundation, Farrugia Investments and Multigas Ltd presents donation to Hospice Malta","Thursday, 30 March 2023, 12:44","Farsons Foundation, Farrugia Investments and Multigas Limited recently presented the third instalment of their €115,000 donation to Hospice Malta. The payment was presented by Louis A...."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Customers can apply for a refund or donate their credit to Puttinu Cares Foundation,"Thursday, 30 March 2023, 12:41","Malta Public Transport has launched a facility to allow Tallinja Card holders to apply for a refund for any residual credit on their cards, while also providing card holders the option to donate the..."
Business Career Expo held at MCAST,"Thursday, 30 March 2023, 12:39","The MCAST's Institute of Business Management, and Commerce (IBMC) is organising the second edition of the 'Business Career Expo', a two-day event focusing on career paths related to the business..."
MBB-Deloitte Event Discusses Revised EU Building Rules,"Thursday, 30 March 2023, 12:36",The Malta Business Bureau (MBB) and Deloitte Malta organised a business event focusing on the revision of the Energy Performance of Buildings Directive (EPBD). The EPBD is an EU legislation which...
BNF Bank extends its sponsorship with IFF U17 Women's league,"Thursday, 30 March 2023, 12:35","The Inħobb il-Futbol Foundation, since its inception has collaborated with BNF Bank which is the title holder for all the junior competitions (boys) under the helm of IFF; mainly Under 17, Under..."
MeDirect Bank announces solid business and financial results for 2022,"Thursday, 30 March 2023, 09:20","MeDirect Group, announced a profit after tax of €8.7 million in 2022.  These results were achieved during a year in which the Group made significant progress in executing its business..."
PTL integrates Apcopay plugin for instant payments in Microsoft Dynamics Business Central,"Thursday, 30 March 2023, 09:18","PTL, the technology solutions provider for businesses, has launched a plugin for its Microsoft Dynamics 365 Business Central customers that enables credit card payment acceptance through invoices and..."
Leadership in the digital era,"Sunday, 26 March 2023, 09:00","Leadership has always been an essential element of success, regardless of the era or industry. In the digital era however, leadership has taken on a new level of importance. With the rise of new..."
Join PKF in the hydrogen revolution,"Sunday, 26 March 2023, 08:30","The PKF conference will be opened by Minister Miriam Dalli, followed by presentations made by notable local and foreign speakers. This conference will be held at the Hilton Malta on 12 April 2023..."
Ramona Azzopardi elected vice president of Ally Law,"Thursday, 23 March 2023, 13:01","Dr Ramona Azzopardi, Partner and Head of Tax at WH Partners, has been elected to the Executive Board of Ally Law and is now one of its vice presidents. Ally Law is a global network of law firms..."
HSBC Malta and local schools help nine local NGOs on International Woman’s Day,"Wednesday, 22 March 2023, 15:44","On the occasion of International Woman's Day, nine local schools have come together to support nine NGOs working with vulnerable women across Malta and Gozo. The initiative was coordinated by the HSBC..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Malta’s only ‘For Impact Event & Fair’ returns,"Wednesday, 22 March 2023, 15:42","The Academy of Givers is hosting its second annual For Impact Event & Fair on 28 March at the Salini Resort. This unique, full-day event is an excellent opportunity to learn from industry experts..."
Emirates cabin crew recruitment event in Malta on 27 March,"Wednesday, 22 March 2023, 15:39","Emirates, the world's largest international airline, is looking for additional people to join its multinational cabin crew team. The airline, based in Dubai, is holding a cabin crew recruitment event..."
APS Bank raises term deposit interest rates further,"Wednesday, 22 March 2023, 15:37","With effect from Monday 20 March, APS Bank plc increased interest rates on Euro fixed term deposits. The improved rates apply to deposit accounts ranging from one month to three years, with the 2-year..."
New beneficial rates for BNF Bank’s term deposit,"Wednesday, 22 March 2023, 15:35","BNF Bank has launched new beneficial rates for its existing term deposit account. With an attractive 2.00% on a 1-year fixed term deposit, 2.30% on a 2-year fixed term deposit and 2.55% on a 3-year..."
db Group eyes international investment – opens a London office,"Wednesday, 22 March 2023, 15:32","""We always welcomed collaboration, joint ventures and projects that bring different expertise to the table. So it is a natural step for us to open up to the rest of the world in search of new..."
"Ruth Abellan appointed GM  at Kempinski Hotel San Lawrenz, Gozo","Tuesday, 21 March 2023, 09:36",From the buzzing city of New York to the hidden gem of Gozo Islands: Ruth Abellan has been appointed as the new General Manager at Kempinski Hotel San Lawrenz. The Spanish native brings over 20 years...
Schüco informed!,"Tuesday, 21 March 2023, 08:00","As a former manufacturer of high-quality solar modules, our active and passive product monitoring obligation has unfortunately recently shown that certain solar modules from our company may be..."
"Halcyon days, mechanisms and Russian oligarchs","Sunday, 19 March 2023, 09:00","As an introduction, investor citizenship schemes or ""golden passport"" schemes, allow a person to acquire a new nationality based on payment or investment in the absence of a genuine link with the..."
Medirectalk focuses on investment opportunities in the current shifting landscape,"Friday, 17 March 2023, 14:14","The investment market expectations for this year, the understanding of the implications of a recession on creating long-term wealth, as well as the ability to position a portfolio to withstand the..."
JA Malta hosts first day of international leadership summit,"Friday, 17 March 2023, 11:14","The JA Europe 2023 Leadership Summit opened yesterday in Malta, at Radisson Blu Resort & Spa, Golden Sands. The international conference, hosted by JA Malta, has welcomed all the JA Europe..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
MAPFRE Middlesea launches new commercial home insurance policy,"Wednesday, 15 March 2023, 11:41",MAPFRE Middlesea is proud to announce the launch of its latest product: Commercial Home insurance. This policy is designed to meet the needs of landlords who are looking to insure their rental...
Finance Incorporated Limited (FIL) obtains Visa membership for acquiring,"Wednesday, 15 March 2023, 11:40","Finance Incorporated Limited (FIL) has obtained Visa membership for acquiring, giving it direct access to a set of services of the Visa global payments network. By obtaining a Principle Acquiring..."
The Convenience Shop Group announces new flagship head office in Qormi,"Tuesday, 14 March 2023, 10:28","The Convenience Shop Group, Malta's leading food retail chain, is excited to announce that they will be moving to their new flagship head office in Qormi. Strategically located in the heart of Qormi..."
10 BOV branches extending opening hours,"Tuesday, 14 March 2023, 10:28","Bank of Valletta is extending its opening hours in ten of its branches across Malta and Gozo. The Branches in Birkirkara, Buġibba, Mellieħa, Mosta, Paola, Rabat, San Ġwann, Sliema,..."
Atlas Insurance funds FIDEM Foundation’s Skill Up Project,"Tuesday, 14 March 2023, 10:23","Atlas Insurance, through its Community Involvement Fund, is funding the Skill Up Project run by the FIDEM Foundation. The joint initiative was announced during FIDEM Foundation's International Women's..."
CBM Governor participates in IMF-WBG constituency meeting in San Marino,"Tuesday, 14 March 2023, 10:19","Ministers, Central Bank Governors and senior officials from Albania, Greece, Italy, Malta, Portugal, San Marino and Timor-Leste convened in San Marino on Friday for an IMF-WBG constituency meeting...."
Laferla Insurance Agency signs agreement with MAPFRE MSV Life,"Tuesday, 14 March 2023, 10:17","Laferla Insurance Agency recently signed an agency agreement with MAPFRE MSV Life, in a move which sees the Laferla and MAPFRE elevate their relationship in the Life Assurance sector in..."
Ten BOV branches extending opening hours,"Monday, 13 March 2023, 12:25","Bank of Valletta is extending its opening hours in ten of its branches across Malta and Gozo. The Branches in Birkirkara, Buġibba, Mellieħa, Mosta, Paola, Rabat, San Ġwann, Sliema,..."
How Malta Gaming Regulations Have Shaped World Casino Gaming,"Friday, 10 March 2023, 17:45","Malta is a small European island in the Mediterranean – but it is also the centre of the world when it comes to gaming regulations.  With a resident population of a little over 518,000, the..."
"Mazars’ record global revenues confirm strength of its international, integrated strategy","Friday, 10 March 2023, 14:29","Mazars, the international audit, tax and advisory firm, today releases its global financial results for the 2021/2022 financial year, highlighting double-digit year-on-year growth of 16.4%, reaching..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
"Cablenet, part of the GO Group, confirmed as fastest growing telco provider in Cyprus","Friday, 10 March 2023, 14:28","Cablenet, a company forming part of the GO Group, and the first foreign company successfully listed on the Malta Stock Exchange, has once again proven its resiliency and adaptability with a record..."
PKF Malta to hold business conference on renewable energy and environmental sustainability,"Friday, 10 March 2023, 14:26",PKF Malta will be organising a conference aimed at sustainability and the use of renewable energy by the business sector. This conference will be held at the Hilton Malta Hotel on 12 April 2023...
FinanceMalta maintains its international drive to promote Malta as an innovative financial centre,"Friday, 10 March 2023, 14:25","FinanceMalta's calendar of international events over the past months has been a very busy one, with the foundation and its members participating in a number of prestigious international events across..."
CBM reiterates its commitment to its tree planting initiative,"Wednesday, 8 March 2023, 09:42","Central Bank of Malta Governor, Professor Edward Scicluna, visited Il-Majjistral Nature and History Park in Mellieħa on 6 March 2023 to launch this year's Central Bank of Malta tree planting..."
IZIBET sponsors the European Snooker Championship 2023 in Malta,"Wednesday, 8 March 2023, 09:40","IZIBET, the official sports betting brand of the National Lottery, is proud to announce that will be the title sponsor of the 2023 European Snooker Championship, which will be held in Malta in..."
In the future will AI challenge our careers?,"Tuesday, 7 March 2023, 12:10",ChatGPT was launched as a prototype on 30 November 2022 and quickly garnered attention for its detailed responses and articulate answers across many domains of knowledge. Its uneven factual...
Malta’s residential property market and mortgage lending – current state of play,"Tuesday, 7 March 2023, 12:08","In Malta, households' annual purchases of residential properties surpassed 13,000 both in 2021 and in 2022. The corresponding yearly value of residential property which was transacted amounted to..."
JA Malta to host international Leadership Summit,"Tuesday, 7 March 2023, 12:02",JA Malta will be hosting the JA Europe 2023 Leadership Summit on 16 and 17 March 2023. This prestigious event will bring to Malta JA Europe's most senior people to discuss the future of education and...
FUSO Canter – Versatile Light-Duty Truck,"Tuesday, 7 March 2023, 10:30",The FUSO Canter blends the driving dynamics and dimensions of a tiny car with the utility and chassis load capacity of a light truck because of its modest size and independent suspension. No matter...
Vassallo Group promotes its employee solidarity fund -  The Arkati Foundation,"Sunday, 5 March 2023, 16:42","Vassallo Group's Arkati Foundation Day was held recently, a day dedicated to raising awareness about the group's internal Charity Fund.    The Arkati Foundation is an employee..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Next MSF event announced - Reconsidering Mobility,"Sunday, 5 March 2023, 09:32","On Tuesday 21 March 2023, the Malta Sustainability Forum (MSF), organised by APS Bank plc, will hold its first online event this year, on the theme 'Sustain Tomorrow Today'. This event 'Reconsidering..."
In the future will AI challenge our careers?,"Sunday, 5 March 2023, 09:30",ChatGPT was launched as a prototype on 30 November 2022 and quickly garnered attention for its detailed responses and articulate answers across many domains of knowledge. Its uneven factual...
Malta’s residential property market and mortgage lending – current state of play,"Sunday, 5 March 2023, 09:22","In Malta, households' annual purchases of residential properties surpassed 13,000 both in 2021 and in 2022. The corresponding yearly value of residential property which was transacted amounted to..."
JA Malta to host international Leadership Summit,"Sunday, 5 March 2023, 09:12",JA Malta will be hosting the JA Europe 2023 Leadership Summit on 16 and 17 March 2023. This prestigious event will bring to Malta JA Europe's most senior people to discuss the future of education and...
"Emirates recycles more than 500,000 kilograms of plastic and glass in one year","Sunday, 5 March 2023, 09:08","Emirates has recycled more than 500,000 kilograms of plastic and glass over the course of 2022, by collecting discarded bottles onboard for repurposing. 500,000 kilograms is almost the same weight as..."
MCAST celebrates milestone achievement of the Equality Mark,"Sunday, 5 March 2023, 08:37","The Malta College of Arts, Science, and Technology (MCAST) has earned the National Equality Mark, a certification given to entities that demonstrate a commitment to fostering an inclusive and..."
Open Week at Michael Debono Used,"Thursday, 2 March 2023, 13:42","Michael Debono Used will be holding an Open Week for second-hand vehicles between 3 and 10 March, including the whole weekend, at the Toyota showroom in Żebbuġ.  This February month,..."
Medirectalk to provide investment insights for 2023,"Tuesday, 28 February 2023, 11:43","As political and economic uncertainty continues to impact global markets, MeDirect Bank Malta is partnering with Morningstar - one of the world's leading investment research firms - to present the..."
Fabio Sperandei is the new president of Novartis Cyprus and Malta,"Friday, 24 February 2023, 12:06","Novartis announces that Fabio Sperandei assumes the position of President of Novartis Cyprus and Malta, with effect from February 1st, 2023 and responsibility for the Innovative Medicines business..."
Zimpler launches AML Round Table,"Thursday, 23 February 2023, 14:45","Zimpler, a Swedish fintech company, providing seamless and secure account-to-account payment solutions with offices in Sweden, Malta and Brazil, is officially launching its first ""Zimpler iGaming AML..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
FinXP achieves double success at the Malta Fintech & Crypto Awards,"Tuesday, 21 February 2023, 16:24","FinXP, a leading international fintech headquartered in Malta, has won the Payments Innovation of the Year Award and the Best B2B Payment Platform of the Year Award at the inaugural Malta Fintech and..."
National Lottery and The Convenience Shop conclude MOU,"Tuesday, 21 February 2023, 16:17",National Lottery plc the operator of the national lottery of Malta and The Convenience Shop (Holding) plc have concluded a Memorandum of Understanding (MOU) whereby the parties have agreed on a...
MSE Executive Chairman Joseph Portelli to head committee of the World Federation of Exchanges,"Tuesday, 21 February 2023, 16:15",Malta Stock Exchange (MSE) Executive Chairman Joseph Portelli has been named Chairman of the Governance & Nominations Committee of the World Federation of Exchanges (WFE). The WFE is the trade...
Women Directors Malta to hold panel discussion on networking,"Monday, 20 February 2023, 13:55","Women Directors in Malta are holding a panel discussion on 'Making Time for Networking' at EY Malta on 2 March at 4pm. At its first event for 2023, WDM, a registered voluntary organization..."
Bank of Valletta updating customer records,"Saturday, 18 February 2023, 12:02","Bank of Valletta is currently in the process of updating the profiles of its customer base, the bank said in a statement.  The bank said it is operating in a complex environment, with global..."
APS Green Term Deposit launched,"Friday, 17 February 2023, 18:48","APS Bank plc has just launched a new product, 'APS Green Term Deposit'. The inaugural event was held at the APS Hub in St Julian's, where speeches were delivered by Marcel Cassar, APS Bank CEO, and..."
Farsons Group’s Louis Farrugia wins the EY Entrepreneur of the Year™ for Malta,"Friday, 17 February 2023, 09:05","Louis Farrugia, Chairman, Farsons Group has won the sixth edition of the EY Entrepreneur of the YearTM. Farsons Group is renowned for its brewing, production, sales and distribution of many Maltese..."
‘Ghost Stories’ art exhibition supported by APS Bank,"Wednesday, 15 February 2023, 15:51","APS Bank plc is proudly supporting Alfie Gatt's solo exhibition 'Ghost Stories', which is being hosted at Il-Kamra ta' Fuq in Mqabba between 17 February and 12 March 2023. The artworks on display will..."
IPL publish 24th edition of Malta Hotels Directory,"Wednesday, 15 February 2023, 15:47","Malta is well on its way to regaining its predominant position as a favoured travel destination. In 2022 the country hosted 2.3 million visitors, with the vast majority staying in hotels. Coupled..."
Philatelic issue: Iconic Maltese children’s books,"Wednesday, 15 February 2023, 15:46",There is no doubt that illustrated story books intensely evoke childhood memories. Young children enjoy poring over book covers with a time-defying immersion that grown-ups unfortunately tend to lose....
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
