headline,date,time,description
Financial earthquake,"December 18, 2013",8:55 pm CET,Banking regulations still have a long way to go to secure  order and stability
Finance ministers reach deal on bank bailouts,"December 18, 2013",8:28 pm CET,Member states’ position is very different from that adopted by MEPs.
Germany’s numbers game,"December 18, 2013",8:25 pm CET,Jörg Asmussen teaches a political lesson. Jörg Asmussen’s decision to leave the executive board of the European Central Bank to become deputy minister for employment and social …
Central bankers’ salaries,"December 18, 2013",7:10 pm CET,"The figures Eurozone unless specified.  2012 figure unless specified. Figure provided by the central bank unless specified. AUSTRIA Claus Raidl €286,000* *Salary cannot exceed that of the …"
Governorships should be kept under review,"December 18, 2013",7:10 pm CET,"Despite an extraordinary increase in cross-border co-operation, there are still 28 national banks each with a national bank governor."
EU revises rules on bank deposit guarantees,"December 18, 2013",2:45 am CET,"Banks required to fund improved schemes protecting deposits of up to €100,000"
EU edges closer to deal on bank bailout fund,"December 18, 2013",1:09 am CET,Finance ministers reach compromise on how to deal with failing banks.
MEPs take a strong line on bank fund,"December 17, 2013",12:44 pm CET,Member states warned that MEPs will refuse to give final say over winding-up banks to national politicians.
Member states appoint Nouy to chair bank supervisor,"December 16, 2013",10:58 am CET,"Nouy has worked on banking supervision at the French, European and international level"
"New ECB board member should be a woman, says Bowles","December 16, 2013",7:10 am CET,Departure of Asmussen revives debate over female representation at ECB
Ireland exits bailout programme,"December 16, 2013",3:22 am CET,Austerity measures to continue into 2014 as government tries to rein in budget deficit.
Deal agreed on bank bailout rulebook,"December 12, 2013",6:10 am CET,Investors and banks to fund bailouts reinforcing protection for depositors and taxpayers
MEPs cry foul over Council plans for banking union that bypass EU,"December 11, 2013",11:05 pm CET,Text sets up single bank resolution authority by intergovernmental treaty.
Two countries stand firm against the sharing of tax information,"December 11, 2013",10:51 pm CET,Luxembourg and Austria block proposal.
Backing for Greek 2014 budget,"December 11, 2013",10:10 pm CET,"The Greek parliament approved the draft 2014 budget by a slender margin late on Saturday (7 November), following five days of heated debate."
The end of rapid growth in the Middle Kingdom?,"December 11, 2013",9:05 pm CET,"China’s economic boom has been extraordinary, but it may not last"
The German scapegoat,"December 11, 2013",8:40 pm CET,Stronger domestic demand in Germany would benefit other countries in surplus four times more than the eurozone’s peripheral countries
Ministers in renewed push for banking union,"December 11, 2013",8:30 pm CET,
What’s the problem with advanced economies?,"December 11, 2013",4:58 am CET,
Another way to make finance safer,"December 11, 2013",2:00 am CET,
Ministers delay final deal on bank rescue authority,"December 10, 2013",8:47 pm CET,
Croatia deficits under scrutiny,"December 10, 2013",10:53 am CET,
Lenders tell Greece to pick up the pace on reforms,"December 9, 2013",3:04 pm CET,
Greek parliament adopts 2014 budget,"December 9, 2013",5:36 am CET,Negotiations with international creditors over budget and reforms to resume this week
ECB keeps rates at record low,"December 5, 2013",6:54 am CET,"Inflation to stay low for prolonged period, Draghi says."
Countdown to compromise on EU banking union rules,"December 4, 2013",11:02 pm CET,Trilogue negotiators race to agree bank rules.
Who should lead the global economy?,"December 4, 2013",8:55 pm CET,Leadership can easily turn into a poisoned chalice
Divisions persist over finer details of single resolution,"December 4, 2013",7:30 pm CET,The European Union’s planned bank resolution authority will be high on the agenda when finance ministers from the eurozone and from the entire EU meet on Monday …
ECB battles with spectre of deflation,"November 27, 2013",10:45 pm CET,Governing council will consider whether to follow up on cut in interest rates with further economy-boosting measures.
Embarrassing results for EU in tax transparency report,"November 27, 2013",10:15 pm CET,Cyprus and Luxembourg flout transparency rules
Cross-border tax avoidance,"November 27, 2013",10:05 pm CET,The European Commission on Monday (25 November) moved to clamp down on companies in the European Union that avoid paying corporate taxes by exploiting differences between member states’ tax regimes.
Commission moves to close corporate tax loopholes,"November 25, 2013",10:11 am CET,Proposal would make it easier for authorities to tax transfers between subsidiary and parent companies.
Northern Europe’s drag on the world economy,"November 24, 2013",2:35 am CET,The eurozone will produce a huge surplus this year at a time when southern Europe (and the global economy) need a boost in demand.
Luxembourg and Cyprus ranked last in OECD report on tax transparency,"November 22, 2013",10:13 am CET,The two EU member states have not implemented an international standard on information exchange.
Cypriot president seeks to reassure Commission over reforms,"November 20, 2013",10:55 pm CET,Anastasiades to hold talks with Barroso.
MEPs approve EU’s long-term budget,"November 20, 2013",10:52 pm CET,Agreement also given  to budget for 2014.
Member states play down national budget reviews,"November 20, 2013",10:30 pm CET,Finance ministers to discuss findings on Friday
Delusional Germany,"November 20, 2013",9:25 pm CET,Three illusions are responsible for the German public’s growing aversion to European integration
A desperate attempt to change a done deal,"November 20, 2013",6:10 pm CET,The attempt by MEPs last week to sneak language on macro-economic conditionality into a compromise on cohesion policy with the member states was not classy. It was …
MEPs approve EU’s long-term budget,"November 19, 2013",8:26 am CET,Vote ends months of tough negotiations with member states on spending plan for 2014-20.
Finance ministers delay deal on bank bailouts,"November 15, 2013",4:31 pm CET,But member states remain confident of reaching a compromise in December.
Split over next steps towards banking union,"November 13, 2013",10:52 pm CET,German coalition talks hold up agreement.
Commission’s economic priorities,"November 13, 2013",10:15 pm CET,"The European Commission kicked off the European Semester of economic co-ordination yesterday, publishing its economic priorities for 2014 as well as a review of potential imbalances in the EU economy."
Budget differences overcome as MEPs prepare to vote,"November 13, 2013",10:05 pm CET,Compromise found on budget shortfall in 2013
Minor shifts between headings paved way for budget agreement,"November 13, 2013",9:55 pm CET,Commitments increase by €77.3million
Another century of decline for UK?,"November 13, 2013",9:05 pm CET,The belief that the UK can go it alone is a fantasy that  will accelerate the country’s decline
European banking dis-union,"November 13, 2013",9:00 pm CET,Europe’s financial markets are heading more towards  renationalisation than banking union
EU agrees 2014 budget,"November 12, 2013",2:32 am CET,
Troika completes Irish review,"November 8, 2013",9:59 am CET,
"De Gucht disputes tax demand of €900,000","November 8, 2013",3:43 am CET,
ECB cuts rates to record low,"November 7, 2013",7:00 am CET,
National budgets under Commission scrutiny,"November 6, 2013",10:56 pm CET,
French eco-tax on heavy vehicles sparks protests,"November 6, 2013",9:40 pm CET,
The slow road to recovery,"November 6, 2013",9:20 pm CET,Slight growth predicted for 2014 and 2015
Europe’s elusive growth consensus,"November 6, 2013",9:00 pm CET,One of the brakes on Europe’s recovery is a lack of desire for growth
Rehn forecasts slow economic growth,"November 5, 2013",7:17 am CET,"Commission predicts growth of 1.9% in 2015, but unemployment to remain high."
German parties agree outlines of Europe policy,"October 31, 2013",8:00 am CET,"Putative coalition agreement backs financial transaction tax, common resolution fund for ailing banks."
Disentangling a tug-of-war,"October 30, 2013",10:20 pm CET,Negotiations on the European Union’s budget for next year  are heading for a showdown in the coming weeks. We cut through the complexities to explain what is at stake.
MEPs approve €2.7 billion budget top-up,"October 24, 2013",9:09 am CET,Extra funds needed to avert disruption of EU business.
MEPs to vote on extra budget funds,"October 23, 2013",10:40 pm CET,Emergency vote to add €2.7bn to 2013 budget.
Secrets of life,"October 23, 2013",8:15 pm CET,The European Economic and Social Committee is so accustomed to being criticised for living beyond its sell-by date that it is now looking to pass on to …
MEPs to vote on extra budget funds,"October 23, 2013",3:05 am CET,Commission appeals to MEPs to avoid ‘payment gap’ by holding emergency vote on €2.7 billion in additional money.
The Federal Reserve’s captive minds,"October 21, 2013",9:30 am CET,"How can we expect these governors to be independent from bankers when they have lived, breathed, and eaten the banking perspective for their entire careers?"
Parliament delays budget vote,"October 18, 2013",6:08 am CET,Political group leaders postpone vote on long-term budget until next month after ‘provocation’ by member states.
Commission plans to harmonise VAT returns,"October 16, 2013",10:50 pm CET,Plan to replace all existing VAT returns with a single EU declaration.
Here comes trouble?,"October 16, 2013",8:55 pm CET,"International financial institutions are trying to put a positive spin on prospects for the global economy, but  serious risks remain"
Sowing confusion?,"October 16, 2013",8:55 pm CET,How credible are the IMF’s flagship World Economic Outlook forecasts?
Ministers put final touches to single banking supervisor,"October 15, 2013",3:06 pm CET,EU bank supervisor is ‘first pillar’ of proposed banking union.
UK businesses draw up wish list of cuts to EU ‘red tape’,"October 15, 2013",3:31 am CET,Cameron’s business taskforce outlines areas for EU to repeal existing rules and adopt new ones.
Member states approve extra €4 billion for EU budget,"October 14, 2013",8:00 am CET,Approval paves way for adoption of annual and long-term budgets by MEPs next week.
"Ireland to exit bailout in mid-December, says PM","October 14, 2013",6:00 am CET,Ireland will be the first eurozone country to exit an EU-sponsored bailout programme.
Finance ministers search for bank rescue fund guarantees,"October 9, 2013",10:05 pm CET,Questions about status of non-eurozone banks Portugal on track for next bail-out instalment.
Ireland and Portugal to publish their draft budgets for 2014,"October 9, 2013",10:00 pm CET,"The governments of Ireland and Portugal are expected to publish the details of their national budgets for 2014 on Tuesday (15 October), the same day that Italy will submit its budget for scrutiny by the European Commission."
Reza Moghadam – The third man’s man,"October 9, 2013",9:20 pm CET,Profile of the director of the International Monetary Fund’s European department
The paradox of central bank co-operation,"October 9, 2013",8:50 pm CET,"Crises increase demand for central bank co-operation, but also dramatically increase the costs of co-operation."
Notes from a small island,"October 9, 2013",8:45 pm CET,The remedies imposed on Cypriot banks  by the European Union and the International  Monetary Fund are not good precedents  for helping banks in difficulty
The end of convergence?,"October 7, 2013",7:45 am CET,"The convergence between the developed and emerging markets is likely to continue, but not at the pace seen since the financial crisis."
Deadline approaching for draft national budgets,"October 2, 2013",10:58 pm CET,
Commission request for more money will re-ignite budget quarrel,"October 2, 2013",10:00 pm CET,
Social scoreboard to be part of budget reviews,"October 2, 2013",7:16 pm CET,
ECB holds interest rates,"October 2, 2013",7:56 am CET,
European markets calm despite US shutdown,"October 1, 2013",5:02 am CET,
Europe’s Japan?,"September 28, 2013",5:00 am CET,
Fight continues over €4bn shortfall in 2013 budget,"September 25, 2013",10:58 pm CET,"1,800 changes proposed to 2014 budget plan."
Europe’s industrial performance drops,"September 25, 2013",10:57 pm CET,EU falls behind global competitors.
Germany ready to relent on single resolution mechanism,"September 18, 2013",10:59 pm CET,Demand for treaty change may ease.
Searching for the promised land,"September 18, 2013",9:40 pm CET,"Critics of Germany suggest that its economic model is not sustainable for the rest of Europe, but a record of economic reform should not be ignored"
The birth of fiscal unions,"September 18, 2013",9:35 pm CET,"Considering the lessons of a failed union between Russia and France, and other European attempts at unions created in an emergency"
Emerging markets’ euro nemesis,"September 16, 2013",9:49 am CET,Austerity in Europe is the cause of Asia’s currency problems – and suggests that a global recovery will be weak and imbalanced.
Eurogroup releases €1.5 billion for Cyprus,"September 13, 2013",10:03 am CET,Troika confirms the country’s adjustment programme is on track.
A cautionary tale,"September 12, 2013",1:00 pm CET,"Because of austerity, Europeans may have to live through the type of disastrous period experienced by Latin Americans, Asians and Africans in the 1980s and 1990s."
European Parliament approves single banking supervisor,"September 12, 2013",8:12 am CET,European Central Bank gains new powers to monitor health of European banking sector.
ECB agrees to disclose details of talks with troubled banks,"September 11, 2013",11:01 pm CET,Bank’s minutes to remain confidential.
Lawyers throw doubt on EU financial tax,"September 11, 2013",10:56 pm CET,Commission disputes opinion from the legal service of the Council of Ministers.
Financial transaction tax ‘breaks EU law’,"September 10, 2013",10:11 am CET,Lawyers say Commission’s proposal is illegal.
€4bn budget shortfall hampers progress in 2014 negotiations,"September 4, 2013",10:10 pm CET,Vote on draft budget expected next month
EU needs simple system for sharing banking information,"September 4, 2013",10:05 pm CET,Member states’ finance ministers will meet in Vilnius next week (13-14 September) to discuss growth and financial stability and the fight against tax fraud and tax evasion.
Third bail-out for Greece?,"September 4, 2013",10:00 pm CET,Estimates suggest another €11bn needed
Yves Mersch – Memory man,"September 4, 2013",9:15 pm CET,Profile of ECB’s executive board member
The post-crisis global economy in three words,"September 4, 2013",9:00 pm CET,"The past five years have accelerated the redrawing of the economic map, rebalanced global consumption and shown the global economy’s  resilience."
Fear and loathing in St Petersburg,"September 4, 2013",8:40 pm CET,Don’t be fooled by the G20 hype
Shear madness from Vassiliou,"September 4, 2013",8:20 pm CET,"Androulla Vassiliou complains about the effect of the hair-cut imposed on savings held in Cypriot banks. Androulla Vassiliou, the European commissioner for culture, sport and multilingualism, is …"
Gender balance finally adds up for ECB,"September 4, 2013",8:05 pm CET,"The ECB has decided to set targets for the number of women in the bank’s management. Better late than never, perhaps. The European Central Bank took a …"
The Federal Reserve in a time for doves,"August 25, 2013",3:00 am CET,"Who would be a better head of the Federal Reserve, Lawrence Summers or Janet Yellen?"
Did taxes cause the financial crisis?,"August 24, 2013",11:00 am CET,The tax system encouraged financial firms to overload themselves with debt.
Whose economic reform?,"August 22, 2013",4:00 am CET,"If there are varieties of capitalism, what should the priorities for structural reform be?"
A weaker euro for a weaker Europe,"August 21, 2013",5:00 am CET,The weakness of the Chinese currency has been a major contributor to southern Europe’s economic malaise.
Has austerity failed in Europe?,"August 20, 2013",11:00 am CET,
ECB keeps rates on hold,"August 1, 2013",6:52 am CET,
Cyprus ‘on track’ with economic reforms,"July 31, 2013",10:13 am CET,
IMF warns on Greece debt,"July 31, 2013",9:57 am CET,
Banking reform’s fear factor,"July 29, 2013",8:00 am CET,
Greece to get next loan tranche,"July 26, 2013",7:58 am CET,
German banks on top,"July 24, 2013",9:05 pm CET,Germany’s position on the banking union is a ploy to hide its subsidies to German banks and industry.
Rehn demands more reforms,"July 19, 2013",8:24 am CET,European commissioner for economic and monetary affairs calls for EU member states to improve finances and help SMEs.
Member states to back budget cuts,"July 17, 2013",10:55 pm CET,Council seeks cuts to Commission proposal but MEPs will demand higher figures.
Talks turn to helping small businesses,"July 17, 2013",10:50 pm CET,Ministers to discuss ways to boost the economy.
Our shrinking equity markets,"July 17, 2013",9:20 pm CET,European markets are  relying too heavily on  overseas investors to  provide long-term investment
Europe’s zombie banks,"July 17, 2013",8:45 pm CET,Europe has too many banks with no sustainable way to turn a profit.
Experts reach agreement on 2014 budget,"July 15, 2013",9:46 am CET,Deal for €142 billion annual budget to be endorsed by national ambassadors on Thursday.
Golden slumbers,"July 13, 2013",11:00 am CET,Should economic policymakers worry about the plunge in gold prices?
Member states seek more cuts to draft 2014 budget,"July 10, 2013",11:05 pm CET,"Fresh from tussle over the EU’s long-term budget, the three main institutions prepare for tough talks on 2014 annual budget."
Barnier plans to give Commission the final say on a bank wind-up or rescue,"July 10, 2013",10:56 pm CET,Building draft fund would take a decade.
Greece must work hard to keep reforms on track,"July 10, 2013",10:49 pm CET,Finance ministers approve next part of Greek bail-out.
The risk of European centralisation,"July 10, 2013",9:45 pm CET,The economic measures that would implicitly support European political union have turned out to be dangerous
Clock is ticking for Slovenia,"July 10, 2013",8:10 pm CET,"Olli Rehn, the European commissioner for economic and monetary affairs and the euro, had words of warning for Slovenia after Monday’s meeting of eurozone finance ministers.  He …"
Barnier plans 300-strong bank resolution agency,"July 10, 2013",6:10 am CET,Commissioner does not rule out future treaty change but says single resolution mechanism should not wait.
Finance ministers approve €7.3 billion in top-up funds,"July 9, 2013",8:22 am CET,Additional money for EU’s 2013 budget part of wider deal on long-term budget.
Finance ministers approve €4bn for Greece,"July 8, 2013",3:40 pm CET,Further loans will be granted in August and October subject to the implementation of reforms; Olli Rehn issues Slovenia warning; IMF says eurozone still vulnerable.
Deal reached on Greek bail-out,"July 8, 2013",4:50 am CET,Eurozone finance ministers expected to approve next loan instalment later today.
Bank resolution plan to be unveiled on Wednesday,"July 5, 2013",9:40 am CET,European Commission to propose single mechanism but months of negotiation lie ahead.
ECB in shock interest rate announcement,"July 4, 2013",7:06 am CET,Mario Draghi takes unprecedented step of declaring that rates will remain low in the coming months as rates are kept on hold again.
Renewed bail-out concerns over Greece and Portugal,"July 3, 2013",11:02 pm CET,Greece awaiting approval for €8.1bn pay-out; Portugal’s bond markets react to political instability.
A budget deal for all?,"July 3, 2013",10:57 pm CET,"MEPs back compromise deal on long-term budget but member states held upper hand in the talks.FlexibilityMid-term reviewSchedule2013 paymentsRebatesFunding, flexibility and frontloading"
Back to the brink?,"July 3, 2013",9:10 pm CET,"Cracks are beginning to appear in the global economy, and the pressure on central banks is growing"
"On the mend, but still ill","July 3, 2013",9:05 pm CET,"The past year has brought three major advances in efforts to shore up the euro, but the architecture of the system remains incomplete and the ECB’s shock weapon has been weakened"
Much ado about colouring,"July 3, 2013",8:25 pm CET,"As Europe’s leaders sat around a conference table on Thursday night discussing the EU’s budget for 2014-20, David Cameron, the prime minister of the United Kingdom, must …"
Austerity claims another victim,"July 3, 2013",8:00 pm CET,
Warm welcome for banking union plans,"July 3, 2013",7:12 pm CET,
Rebates,"July 3, 2013",6:16 pm CET,
2013 payments,"July 3, 2013",6:15 pm CET,
Schedule,"July 3, 2013",6:14 pm CET,
"Funding, flexibility and frontloading","July 3, 2013",6:13 pm CET,
Mid-term review,"July 3, 2013",6:11 pm CET,.
Flexibility,"July 3, 2013",6:10 pm CET,"Last week’s compromise deal foresees flexibility both on the budgeted commitments (ie, undertakings to pay) and on actual payments.  Unused payment appropriations in any budget year can …"
Eurogroup to meet Portugal’s new finance minister,"July 2, 2013",5:20 am CET,Vítor Gaspar resigns warning of “enormous” challenges ahead; Maria Luís Albuquerque to be sworn in later.
British banks’ comedy of terrors,"July 1, 2013",6:53 am CET,British regulators are advocating that British banks should have paper-thin cushions against losses.
Row over EU budget overshadows deals,"June 27, 2013",8:14 pm CET,"Agreements on long-term EU budget, banking resolution and youth unemployment soured by UK attempt to seek reassurance on rebate.Deal reached on rules for failing banksEU leaders strike deal on 2014-20 budget"
"MEPs ‘extremely concerned’ at slow pace on banking union, says Schulz","June 27, 2013",1:43 pm CET,European Parliament president tells member states’ leaders that lack of progress endangers citizens’ trust in democratic institutions.
Majority support emerges in Parliament for budget deal,"June 27, 2013",11:44 am CET,Centre-right and centre-left endorse compromise deal while Liberals reserve judgement.EU leaders strike deal on 2014-20 budget
EU leaders strike deal on 2014-20 budget,"June 27, 2013",3:26 am CET,Member states make last-minute concessions to secure MEPs’ backing.
MEPs demand more on 2014-20 budget,"June 26, 2013",11:05 pm CET,MEPs are adamant that member states must make more concessions.
Cut-backs proposed in EU’s 2014 budget,"June 26, 2013",11:00 pm CET,"Proposal to cut spending next year by 5.8%, with regional development the hardest-hit area."
Rescue fund’s accounts show extent of help to Spanish banks,"June 26, 2013",10:53 pm CET,ESM board approves 2012 annual report.
Ministers back plan to tackle VAT fraud,"June 26, 2013",10:52 pm CET,Energy companies back ministers’ deciision.
Deal reached on rules for failing banks,"June 26, 2013",8:58 pm CET,Finance ministers agree on EU-wide model for imposing losses on creditors to pay for bank rescues.
The regional innovator,"June 26, 2013",8:25 pm CET,Helping the EU’s regions make the most of  funding opportunities
Schulz says Parliament would reject deal on long-term budget,"June 25, 2013",7:57 am CET,"Compromise deal struck last week stands no chance in the European Parliament, its president says."
Bank resolution talks break up without deal,"June 21, 2013",9:34 pm CET,Finance ministers to meet again on Wednesday.
Member states support tough stance on French economy,"June 21, 2013",10:25 am CET,"Italy, Latvia, Lithuania, Hungary and Romania leave excessive deficit procedure."
Ministers back plan to tackle VAT fraud,"June 21, 2013",9:38 am CET,Legislation is designed to close loopholes until system is overhauled.
MEPs cast doubt on budget deal,"June 20, 2013",5:35 am CET,Agreement announced last night described as “unacceptable” by MEPs; German MEP resigns from his role in negotiations in protest at deal.Deal struck on long-term budget
Ministers look to insulate public from bank rescues,"June 19, 2013",11:02 pm CET,Member states at odds over draft legislation.EU leaders to show commitment to banking union
EU leaders to show commitment to banking union,"June 19, 2013",10:40 pm CET,European Council next week will focus on bank resolution and recovery rules.
Deal elusive on EU’s long-term budget,"June 19, 2013",9:10 pm CET,Irish push for deal before it hands over presidency of Council of Ministers to Lithuania.
Europe’s economic group-think,"June 19, 2013",9:05 pm CET,Questions raised at the German constitutional court’s hearing on the legality of the European Central Bank’s efforts to save the eurozone
From dreams to reality,"June 19, 2013",9:00 pm CET,"Europe has no shortage of great ideas, but there has been a failure to provide the money and support needed to back them up"
Deal struck on long-term budget,"June 19, 2013",3:03 pm CET,
MEPs call for wide-ranging transaction tax,"June 18, 2013",10:52 am CET,
Deal reached on markets legislation,"June 17, 2013",2:05 pm CET,
Last-chance talks on EU’s 2014-20 budget,"June 12, 2013",11:02 pm CET,
The green shoots of solidarity,"June 12, 2013",9:35 pm CET,
Budget talks set to continue,"June 11, 2013",5:46 pm CET,
Inflation is still the lesser evil,"June 8, 2013",6:30 am CET,Higher inflation would help to accelerate desperately needed adjustment in Europe’s commercial banks.
Draghi: ECB did not make mistakes over Greece,"June 6, 2013",9:42 am CET,European Central Bank president refuses to take blame following critical IMF report.
Latvia on track to join the single currency in 2014,"June 5, 2013",10:30 pm CET,ECB still has concerns over Latvia’s economy
Calls for swift action on bank resolution system,"June 5, 2013",10:15 pm CET,"European commissioners yesterday (5 June) discussed ideas for a system to wind up stricken eurozone banks, in preparation for formal proposals that the Commission is expected to make later this month."
Member states put under pressure on banking union,"June 5, 2013",9:50 pm CET,"A paper on the future of economic policy co-ordination in the European Union and eurozone, jointly issued by France and Germany last week, puts pressure on member states to make progress on proposed banking-union measures this month."
The Latin difference,"June 5, 2013",8:55 pm CET,History teaches us that political systems will collapse if they take on too much debt and try to pay at all costs
Capital fellow,"June 5, 2013",8:50 pm CET,Andrea Enria – chairman of the European Banking Authority
Spain’s banking reforms ‘on track’,"June 3, 2013",9:44 am CET,Upbeat assessment of progress since €40bn bail-out.
Member states given more time to cut deficits,"May 29, 2013",10:59 pm CET,Commission recommends economic reforms.Country by country recommendations
New momentum in budget talks,"May 29, 2013",10:51 pm CET,Focus shifts to specific areas of diagreement.
Resolving to end European stagnation,"May 29, 2013",9:30 pm CET,Cleaning up Europe’s banking sector is an essential step on the road to economic recovery
Europe’s troika should grow up,"May 29, 2013",9:25 pm CET,Considering the record – and the future – of the troika of international creditors that is ministering to the EU’s struggling member states
Day in court,"May 29, 2013",8:20 pm CET,"Jens Weidmann, the president of Germany’s Bundesbank, is about to have his two days in court – the German constitutional court, which will hold a hearing on …"
Country by country recommendations,"May 29, 2013",7:10 pm CET,Belgium  “Credible implementation of ambitious structural reforms” to boost growth and achieve durable correction of fiscal imbalances must be presented by October. No effective action has been …
Our crisis should not be the poor’s,"May 26, 2013",1:30 pm CET,Europe’s economic crisis does not justify cutting smart aid for the world’s poorest.
Commission may expand reporting directive to tax,"May 24, 2013",10:01 am CET,The European Commission is looking to fast-track new rules for more transparency in corporate tax.
MEPs back tough bank rules,"May 22, 2013",10:59 pm CET,Legislation would protect small-scale depositors.Parliamentary notebookParliament in brief
Growing tension over budget talks,"May 22, 2013",10:57 pm CET,First bids for 2014 expected next week
EU leaders urged to tackle tax evasion,"May 22, 2013",10:35 pm CET,MEPs unite to criticise tax evasion.
EU summit: minimal progress on tax and energy,"May 22, 2013",1:20 pm CET,EU leaders agree to some movement on tax avoidance and statement of principles on energy
Apple tax avoidance looms over EU summit,"May 22, 2013",3:07 am CET,"EU leaders to discuss tax issues today, with Ireland under pressure over its tax rates."
Balancing the technocrats,"May 19, 2013",5:23 am CET,It is undemocratic that the ECB can set the eurozone-wide inflation target unilaterally.
Debt without drowning,"May 17, 2013",4:49 am CET,A debt-mutualisation scheme for the eurozone must satisfy three crucial requirements.
EU clears path to deal on budget for 2014-20,"May 15, 2013",10:52 pm CET,Ministers agree to €7.3bn top-up request for 2013.
Austria and Luxembourg hold out against tougher tax rules,"May 15, 2013",10:51 pm CET,
Europe’s irrelevant austerity debate,"May 15, 2013",9:05 pm CET,
Trading places,"May 15, 2013",8:30 pm CET,
Hollande’s sherpa,"May 15, 2013",7:30 pm CET,
Finance ministers fail to reach deal on tax avoidance,"May 14, 2013",11:55 am CET,
EU finance ministers approve budget top-up,"May 14, 2013",8:44 am CET,
The new sick man of Europe,"May 14, 2013",1:40 am CET,"Faith in the European Union is at an all-time low, and there are precious few signs of that changing."
Finance ministers remain cautious on Slovenia,"May 13, 2013",5:18 pm CET,Olli Rehn says Slovenian government has “no time to waste” in reforming economy.
Budget talks start,"May 13, 2013",10:48 am CET,Long-delayed negotiations on the EU’s budget for 2014-20 get underway in Brussels.
Schäuble says treaty change needed to support EU banking rules,"May 13, 2013",5:21 am CET,"EU bank resolution authority needs a ‘sold legal base’, says German finance minister."
Two-stage approach ends stalemate on budget talks,"May 7, 2013",10:58 pm CET,Negotiations scheduled to start on Monday and Ireland seeking agreement by the end of June.
Slovenia’s economic reform plans to be put to the test,"May 7, 2013",10:57 pm CET,Government urged to cut its budget deficit.
Commission to extend deadlines for deficits,"May 7, 2013",10:56 pm CET,Rehn pessimistic about France’s economy.Doom and gloom in the eurozoneCauses for concern
A share of the wealth,"May 7, 2013",8:40 pm CET,"The European Union imposes greater levels of tax on its citizens and businesses than do most other areas of the world, writes Ian Wishart."
A fateful mistake,"May 7, 2013",8:35 pm CET,Continuing to discredit austerity could cause long-term damage to the case for fiscal responsibility
Causes for concern,"May 7, 2013",6:10 pm CET,"France The European Commission forecasts that the stagnation of the French economy will continue this year, with gross domestic product (GDP) decreasing by 0.1% over the course …"
Way forward agreed on budget talks,"May 7, 2013",2:36 am CET,"Breakthrough in three-way talks on long-term budget, but member states continue fighting over additional funds for 2013 budget."
Commission lowers economic forecast,"May 3, 2013",10:53 am CET,"France, Spain and the Netherlands expected to be given more time to reach deficit targets."
ECB cuts interest rates to record low,"May 2, 2013",9:52 am CET,Mario Draghi says that first rate cut since July will help eurozone to recover “later in the year”.
British tax havens take steps to end bank secrecy,"May 2, 2013",7:21 am CET,"Overseas territories agree to automatic exchange of information with France, Germany, Italy and Spain."
Letta pleads for growth,"May 2, 2013",4:14 am CET,Italy’s new prime minister calls for a shift to stimulus on his first trip abroad.
Council prepares for truce with MEPs on EU budget,"May 1, 2013",11:01 pm CET,"Two sides are intensifying negotiations on the 2013 budget, regarded as a precondition for talks on the longer-term budget."
Big banks’ tall tales,"May 1, 2013",10:00 am CET,Policymakers believe that orderly resolution of global mega-banks is an illusion; we should all worry.
EU needs Letta to keep Italy on the right path,"May 1, 2013",2:40 am CET,Enrico Letta needs to earn his place at the EU’s top table.
Spring expected to stay gloomy as economic forecasts are released,"April 30, 2013",9:50 pm CET,EU softening approach to fiscal consolidation
Letta to request more time to meet EU fiscal targets,"April 30, 2013",9:25 pm CET,Enrico Letta to meet EU leaders in Brussels
Barnier aims to give every EU citizen the right to a basic bank account,"April 30, 2013",9:10 pm CET,It is estimated that around 56 million people in the EU above the age of 15 do not have a bank account.
The ties that bind are dissolving,"April 30, 2013",8:40 pm CET,Austerity policies are allegedly undermining the European Union. In reality fragmentation is a bigger threat than austerity.
Bundesbank criticises ECB bond plans,"April 26, 2013",7:50 am CET,"In legal opinion, Germany’s central bank attacks eurozone rescue measures."
ECB under pressure to cut interest rates,"April 24, 2013",11:02 pm CET,Annual inflation at its lowest level since 2010.
Clarification required on financial transaction tax,"April 24, 2013",10:55 pm CET,
Ministers to discuss contracts to boost growth,"April 24, 2013",10:45 pm CET,
Is Slovenia en route to a banking sector bail-out?,"April 24, 2013",9:05 pm CET,
Can a major bank really be allowed to fail?,"April 24, 2013",8:50 pm CET,
Europe in depression?,"April 24, 2013",8:40 pm CET,
Member states angered by budget top-up request,"April 17, 2013",11:01 pm CET,
Crackdown on secret accounts,"April 17, 2013",10:59 pm CET,Commission attempts to revise savings directive.Fekter defiant over bank rulesVan Rompuy puts tax evasion on summit agendaOsborne under pressure over islands’ tax statusMinisters join forces to tackle tax evasionA long and bitter struggle
Funding crisis for Europe’s SMEs threatens recovery,"April 17, 2013",8:55 pm CET,"Credit continues to contract, starving the small and medium-sized businesses that are vital to the European recovery."
The French re-connection,"April 17, 2013",8:05 pm CET,"Control of the European Economic and Social Committee is being returned where it belongs – to the hands of the French. The EESC, which was modelled in …"
The French re-connection,"April 17, 2013",8:05 pm CET,"Control of the European Economic and Social Committee is being returned where it belongs – to the hands of the French. The EESC, which was modelled in …"
A long and bitter struggle,"April 17, 2013",7:14 pm CET,The European Union has been disputing the terms of proposals to tax income from cross-border investments for almost 25 years. The length of that struggle and the …
