headline,url,description,date,sentiment,sentiment_score
"Malta needs economic diversification not just in new sectors, but also existing ones – PM",https://maltabusinessweekly.com/malta-needs-economic-diversification-not-just-in-new-sectors-but-also-existing-ones-pm/25757/,"The expansion of Pharmadox Healthcare Ltd, a Maltese factory that tests medicines, including some of the best international brands, was inaugurated Monday by Prime Minister Robert Abela who observed that the investment was a result of the high calibre of Maltese workers and the commitment of the...",2024-04-16T09:48:27+00:00,positive,0.8733452558517456
Government inaugurates Dar San Ġużepp elderly home in Għajnsielem,https://maltabusinessweekly.com/government-inaugurates-dar-san-guzepp-elderly-home-in-ghajnsielem/25748/,"The Dar San Ġużepp elderly home in Għajnsielem was inaugurated on Thursday morning by Prime Minister Robert Abela, who described it as a home that offers quality of life to the Gozitan elderly. A government statement read that the home, which began welcoming its first elderly residents in recent...",2024-04-12T11:39:25+00:00,positive,0.8126628398895264
"DB ITS project permit stands, as court rejects request for retrial filed by NGOs",https://maltabusinessweekly.com/db-its-project-permit-stands-as-court-rejects-request-for-retrial-filed-by-ngos/25745/,"The First Hall of the Civil Court has rejected a request for a retrial of the objection filed by NGOs against db Group’s St. George’s Bay project at the former ITS site. The decision, handed down by Mr. Justice Lawrence Mintoff this morning, rejects the request for a retrial, which means that...",2024-04-12T11:34:54+00:00,neutral,0.528764009475708
OSCE Chair-in-Office and Foreign Minister Ian Borg visits OSCE Mission in Kosovo,https://maltabusinessweekly.com/osce-chair-in-office-and-foreign-minister-ian-borg-visits-osce-mission-in-kosovo/25736/,"“Current challenges in the heart of Europe should not overshadow the long way we have already come. Security and peace are not out of reach, and with determined leadership on all sides and with the help of organisations like OSCE, we can continue supporting the required reforms.” This was stated...",2024-04-12T11:29:21+00:00,positive,0.6469651460647583
"Sant’Antnin plant ‘on track’ to blossom into recreational green park, WasteServ says",https://maltabusinessweekly.com/santantnin-plant-on-track-to-blossom-into-recreational-green-park-wasteserv-says/25729/,"The transformation of the Sant’ Antnin waste treatment plant into a recreational green park is closer to reality now that the tender for excavation and preparatory construction works has been issued, WasteServ said in a statement Friday. WasteServ announced that most of the operations at the...",2024-04-12T11:23:22+00:00,neutral,0.8322111964225769
Maltese hauliers on Malta to Genoa sea-route already saving 70% in Co2 emissions,https://maltabusinessweekly.com/maltese-hauliers-on-malta-to-genoa-sea-route-already-saving-70-in-co2-emissions/25709/,"Over the past months, ATTO, the Malta Chamber, the Malta Business Bureau, together with the Irish Road Haulage Association (IRHA) and the Cyprus Chamber of Commerce and Industry have been preparing an important advocacy campaign urging the European institutions to revise existing road transport...",2024-04-11T07:19:23+00:00,positive,0.8084630966186523
PwC Malta releases Economic Outlook for 2024 giving an insight in Malta’s economic growth and inflationary pressures,https://maltabusinessweekly.com/pwc-malta-releases-economic-outlook-for-2024-giving-an-insight-in-maltas-economic-growth-and-inflationary-pressures/25697/,"PwC Malta has released its Economic Outlook for 2024, providing insights into global economic trends and projections for the coming fiscal years. The report highlights a forecasted slowdown in global growth for FY24, with a marginal pick-up anticipated in FY25. Key findings from the report...",2024-04-10T13:07:14+00:00,negative,0.7712423801422119
Agius Saliba says PN claim on European Commissioner’s decision on importers as ‘outright lie’,https://maltabusinessweekly.com/agius-saliba-says-pn-claim-on-european-commissioners-decision-on-importers-as-outright-lie/25691/,Labour MEP Alex Agius Saliba has called out the PN for lying about the outcome of his request to the European Commission to investigate de-facto monopolies in the food retail sector.  The Nationalist Party on Monday organised a press conference to present a letter whereby the European...,2024-04-09T03:51:00+00:00,negative,0.5183702707290649
Malta Enterprise to assist businesses to invest in electric vehicles,https://maltabusinessweekly.com/malta-enterprise-to-assist-businesses-to-invest-in-electric-vehicles/25609/,"The Ministry of Economy, Enterprise and Strategic Projects, together with Malta Enterprise, launched the Green Mobility Scheme, an initiative to promote the adoption of electric vehicles and sustainable transportation practices across businesses in Malta. Transportation is pivotal in business...",2024-03-26T18:15:01+00:00,neutral,0.717395007610321
Deadline for Micro Invest applications for self-employed extended until the 10th of April 2024,https://maltabusinessweekly.com/deadline-for-micro-invest-applications-for-self-employed-extended-until-the-10th-of-april-2024/25604/,"The Ministry for Economy, Enterprise and Strategic Projects is announcing that Malta Enterprise is extending the deadline for submission of applications for Micro Invest for self-employed individuals until the 10th of April 2024. The applications for the Micro Invest Scheme can be submitted via...",2024-03-26T11:19:37+00:00,neutral,0.9370022416114807
New cable connections and substations to reinforce Gozo’s electricity network,https://maltabusinessweekly.com/new-cable-connections-and-substations-to-reinforce-gozos-electricity-network/25587/,"Enemalta is working to continue improving the quality of its electricity services in Gozo, with new cable connections, new substations and other network upgrades. Minister for the Environment, Energy and the Regeneration of the Grand Harbour Miriam Dalli and Minister for Gozo and Planning Clint...",2024-03-23T07:24:16+00:00,positive,0.8873478770256042
New Sliema ferry landing facilities completed,https://maltabusinessweekly.com/new-sliema-ferry-landing-facilities-completed/25592/,"Infrastructure Malta has completed new facilities for sea passengers on the Sliema waterfront, the agency said in a statement on Friday. This facility is designed to offer passengers shelter while waiting, a small room dedicated to issuing tickets for the journey, as well as other amenities for...",2024-03-22T19:31:00+00:00,positive,0.7287007570266724
Micro Invest Scheme reopens under new improved de minimis regulations,https://maltabusinessweekly.com/micro-invest-scheme-reopens-under-new-improved-de-minimis-regulations/25550/,"The Ministry for Economy, Enterprise and Strategic Projects is announcing that Malta Enterprise has re-opened its Micro Invest scheme following the publication of new regulations by the European Commission, which have set the maximum de minimis limit over a period of 3 years to €300,000. De...",2024-03-21T08:15:17+00:00,positive,0.5060746669769287
The Malta Chamber forge Bronze Collaboration Agreement with Sullivan Shipping,https://maltabusinessweekly.com/the-malta-chamber-forge-bronze-collaboration-agreement-with-sullivan-shipping/25537/,"The Malta Chamber of Commerce, Enterprise and Industry is thrilled to announce the signing of a Bronze Collaboration Agreement with Sullivan Shipping. This agreement marks a significant milestone in fostering strategic partnerships aimed at enhancing Malta's commercial landscape. As two...",2024-03-20T12:52:52+00:00,positive,0.9315588474273682
New amendment will see landlords able to house two tenants per bedroom,https://maltabusinessweekly.com/new-amendment-will-see-landlords-able-to-house-two-tenants-per-bedroom/25532/,"An amendment to rental laws will enable tenants to accommodate two tenants per bedroom in a rental unit, up to a maximum of 10 tenants in a five-bedroom apartment. This was announced by Housing Minister Roderick Galdes in a Facebook post, in which he said that tenants will be limited to two...",2024-03-20T11:22:29+00:00,neutral,0.872515082359314
Opportunities in superyachts: Ease of doing busniess in Malta and the MBR,https://maltabusinessweekly.com/opportunities-in-superyachts-ease-of-doing-busniess-in-malta-and-the-mbr/25511/,"The Malta Business Registry, participated in the Opportunities in Superyachts 11th Annual Conference through a panel discussion which focused on Ease of Doing Business in Malta (Yachting Industry). With the participation of the MBR together with other important stakeholders, the discussion...",2024-03-15T09:47:09+00:00,positive,0.7210679650306702
"Approving MIDI’s Manoel Island project would violate UNESCO Valletta buffer zone, NGOs say",https://maltabusinessweekly.com/approving-midis-manoel-island-project-would-violate-unesco-valletta-buffer-zone-ngos-say/25482/,"The approval of MIDI’s latest set of plans for Manoel Island by the Planning Authority would violate the UNESCO’s Valletta buffer zone, two NGOs warned on the eve of the PA’s expected decision on the project.  The Planning Authority Board will discuss MIDI’s latest application for Manoel Island...",2024-03-14T09:42:55+00:00,negative,0.679896354675293
TradeMalta organises its first Trade Mission to Ethiopia,https://maltabusinessweekly.com/trademalta-organises-its-first-trade-mission-to-ethiopia/25463/,"The trade delegation, which is being organised by TradeMalta in collaboration with the Ethiopian Investment Commission, is made up of sixteen enterprises coming from different sectors – education and training, construction and building maintenance services, medical equipment, business...",2024-03-13T09:07:26+00:00,neutral,0.9097864031791687
New collective agreement to offer better conditions for Infrastructure Malta workers,https://maltabusinessweekly.com/new-collective-agreement-to-offer-better-conditions-for-infrastructure-malta-workers/25451/,"A new collective agreement that will offer better conditions to Infrastructure Malta employees has been reached following several months of negotiations, the Transport Ministry said Tuesday. Infrastructure Malta and the General Workers Union (GWU) have reached an agreement that will result in a...",2024-03-13T06:23:00+00:00,positive,0.9484807848930359
Malta Enterprise to brief companies on possible EU industrial chemicals restrictions,https://maltabusinessweekly.com/malta-enterprise-to-brief-companies-on-possible-eu-industrial-chemicals-restrictions/25445/,"Discussions are currently underway regarding the adoption of a new restriction under REACH, a European regulation for the registration, evaluation, authorisation and restriction of chemicals. The overall objective is to restrict the manufacturing and sale of PFASs in the European Economic Area...",2024-03-12T13:36:01+00:00,neutral,0.9084675908088684
"European Union members should open talks with Bosnia on joining, the EU’s executive branch says",https://maltabusinessweekly.com/european-union-members-should-open-talks-with-bosnia-on-joining-the-eus-executive-branch-says/25431/,"The European Union's executive arm will recommend that member countries open accession negotiations with Bosnia-Herzegovina, European Commission President Ursula von der Leyen said Tuesday, despite lingering ethnic divisions in the Western Balkan country. Bosnia-Herzegovina is among six nations...",2024-03-12T12:24:11+00:00,positive,0.7469261884689331
NGOs say proposed rent law amendments will ‘remove minimal safeguards’ for tenants,https://maltabusinessweekly.com/ngos-say-proposed-rent-law-amendments-will-remove-minimal-safeguards-for-tenants/25443/,"Several organisations have presented a list of proposed changes to a Bill which they said ""seeks to remove the minimal existing safeguards"" for tenants within the Private Residential Leases Act. The joint document was sent to the Minister for Social and Affordable Accommodation, Roderick Galdes...",2024-03-12T10:48:00+00:00,neutral,0.818078875541687
38 kilometres of new electricity cables in less than three months,https://maltabusinessweekly.com/38-kilometres-of-new-electricity-cables-in-less-than-three-months/25417/,Enemalta added 38 kilometres of new underground cables to the national grid in less than three months. Minister for the Environment Energy and the Regeneration of the Grand Harbour Miriam Dalli announced the progress of this infrastructural investment while meeting some of the project’s workers...,2024-03-11T16:21:42+00:00,positive,0.7011765241622925
Businesses discuss EU textile and food waste measures,https://maltabusinessweekly.com/businesses-discuss-eu-textile-and-food-waste-measures/25393/,The Malta Business Bureau organised an information session with businesses on the EU’s proposal for a revised Waste Framework Directive (WFD). The European Commission has now proposed a revision of the WFD to place a greater emphasis on the reduction and proper management of food waste and...,2024-03-09T10:48:14+00:00,neutral,0.6669037938117981
BCA issues two calls for lawyers and architects to provide new free public service,https://maltabusinessweekly.com/bca-issues-two-calls-for-lawyers-and-architects-to-provide-new-free-public-service/25386/,"Minister for Justice and Construction Reform, Jonathan Attard, announced that in line with the government's commitment to giving a stronger voice to citizens affected by the construction sector, the Building and Construction Authority has issued two public calls. One of these calls is for...",2024-03-09T10:32:21+00:00,neutral,0.5700706839561462
Malta and Ghana reaffirm the strong bilateral relations between the two countries,https://maltabusinessweekly.com/malta-ghana-reaffirm-the-strong-bilateral-relations-between-the-two-countries/25378/,"On the first day of a state visit to Ghana, President George Vella and Mrs Miriam Vella were received by the President of Ghana, Nana Addo Dankwa Akufo-Addo, and the First Lady, Rebecca Akufo-Addo, at Jubilee House in Accra. Following the official welcoming ceremony, President Vella and...",2024-03-09T10:28:20+00:00,neutral,0.5632368922233582
"Malta sets record in social housing projects, initiatives",https://maltabusinessweekly.com/malta-sets-record-in-social-housing-projects-initiatives/25375/,"During a Ministerial conference organised by the Belgian Presidency, in Liege Brussels, which discussed the accommodation sector, Minister for Social and Affordable Accommodation Roderick Galdes highlighted Malta’s plans for this sector and explained the initiatives being undertaken by the...",2024-03-09T10:22:43+00:00,positive,0.6059793829917908
87% of those aged between 25 and 34 prefer online shopping,https://maltabusinessweekly.com/87-of-those-aged-between-25-and-34-prefer-online-shopping/25321/,"In recent years, Malta has witnessed a dynamic transformation in its social media landscape, significantly influencing how people, businesses, and communities interact and engage with one another. To this end, The Malta chamber of Commerce, Enterprise and Industry, in collaboration with misco...",2024-03-06T12:00:34+00:00,positive,0.6323332786560059
Malta ranks 4th best EU country for innovative startups,https://maltabusinessweekly.com/malta-ranks-4th-best-eu-country-for-innovative-startups/25312/,Local startup ecosystem ranks 4th out of 21 countries on the ESNA Startup Nations standards scale. A survey carried out by the Europe Startup Nations Alliance among 21 EU countries found placed Malta as the 4th best destination for innovative startups. This emerged from the first technical...,2024-03-06T11:39:30+00:00,positive,0.7463371157646179
Third edition of the For Impact Event and Fair launched,https://maltabusinessweekly.com/third-edition-of-the-for-impact-event-and-fair-launched/25309/,"The Academy of Givers is excited to announce the third edition of the For Impact Event and Fair that will take place on 12 March at Corinthia St George’s Bay, providing businesses a unique opportunity to come together, learn from industry experts, develop their ESG and CSR strategies and engage...",2024-03-06T11:29:57+00:00,positive,0.7789691090583801
Ministerial initiative to offer semi-industrial spaces in Corradino to creative artists,https://maltabusinessweekly.com/ministerial-initiative-to-offer-semi-industrial-spaces-in-corradino-to-creative-artists/25297/,"An initiative has been launched that will offer creative artists semi-industrial spaces and mentoring to help them develop business-related projects. Through this initiative, interested artists may use spaces within the Kordin Business Incubation Centre (KBIC). This initiative has been launched...",2024-03-06T09:24:47+00:00,positive,0.5888792276382446
New calls for offers to encourage increased renewable energy investment,https://maltabusinessweekly.com/new-calls-for-offers-to-encourage-increased-renewable-energy-investment/25278/,"The Ministry for the Environment, Energy and the Regeneration of the Grand Harbour and the Regulator for Energy and Water Services (REWS) are issuing new calls for offers for investments in new renewable energy systems, with more advantageous grants and increased capacities. From tomorrow, the...",2024-03-01T13:16:09+00:00,positive,0.835091769695282
Transport Malta launches new financial incentive to promote sustainable transport solutions,https://maltabusinessweekly.com/transport-malta-launches-new-financial-incentive-to-promote-sustainable-transport-solutions/25269/,"In a bid to further promote cleaner and more sustainable transportation options, Transport Malta, in collaboration with the Ministry for Transport, Infrastructure and Public Works, is pleased to announce the launch of a new financial incentive program. This initiative aims to encourage the...",2024-03-01T10:17:23+00:00,positive,0.8948531746864319
Annual growth in business activity slightly below its long-term average,https://maltabusinessweekly.com/annual-growth-in-business-activity-slightly-below-its-long-term-average/25263/,"The Bank’s Business Conditions Index indicates that in January, annual growth in business activity fell marginally below its long-term average. The European Commission’s economic confidence indicator fell in January, and stood below its long-term average. Employment expectations also decreased...",2024-02-29T15:56:55+00:00,negative,0.9741449952125549
PwC Malta’s Academy launches the second edition of its ESG Programme,https://maltabusinessweekly.com/pwc-maltas-academy-launches-the-second-edition-of-its-esg-programme/25260/,"PwC Malta’s Academy is launching the second edition of its Comprehensive Environmental, Social and Corporate Governance (ESG) Programme starting in May 2024. With ESG rapidly gaining momentum and climbing to the top of the agenda of various organisations, it is crucial for businesses to upskill...",2024-02-29T15:48:08+00:00,positive,0.7852419018745422
Valletta Waterfront’s Forni Buildings rejuvenated,https://maltabusinessweekly.com/valletta-waterfronts-forni-buildings-rejuvenated/25257/,"Valletta Cruise Port, operators of the Valletta Waterfront have recently finalised the restoration of the historic Forni Stores. The buildings referred to as Forni Stores consist of two separate blocks varying in size and proportion. The block closer to Pinto Stores is known as Forni 1 and was...",2024-02-29T15:41:26+00:00,neutral,0.928810715675354
The Malta Chamber and MAPFRE Malta sign Bronze Collaboration Agreement,https://maltabusinessweekly.com/the-malta-chamber-and-mapfre-malta-sign-bronze-collaboration-agreement/25243/,"The Malta Chamber of Commerce, Enterprise, and Industry proudly announce the signing of a Bronze Collaboration Agreement with MAPFRE Middlesea plc and MAPFRE MSV Life, both leading insurance companies in Malta. This strategic alliance marks a significant milestone in advancing sustainable...",2024-02-28T14:39:37+00:00,positive,0.9281564354896545
Sofia public inquiry report published,https://maltabusinessweekly.com/sofia-public-inquiry-report-published/25234/,"A public inquiry into the death of Jean Paul Sofia described the tragedy as a “slap in the face” to good governance, and said that in a democratic country like ours impunity based on the pretext that anything goes should not be tolerated. The 484-page report that was presented to the Prime...",2024-02-28T10:34:52+00:00,negative,0.5186387300491333
MEP Josianne Cutajar hosts high level discussion on climate resilience in coastal regions,https://maltabusinessweekly.com/mep-josianne-cutajar-hosts-high-level-discussion-on-climate-resilience-in-coastal-regions/25223/,"“Turning the Tide: How to Drive Climate Resilience in Coastal and Maritime Infrastructure” was the theme of an event hosted by MEP Josianne Cutajar, as Vice Chair for SMEs and Digitalisation in the SEArica Intergroup, in the European Parliament. MEP Cutajar has increasingly advocated for...",2024-02-24T11:21:19+00:00,neutral,0.6005797386169434
Enemalta issues call for tenders for new Siġġiewi Distribution Centre,https://maltabusinessweekly.com/enemalta-issues-call-for-tenders-for-new-siggiewi-distribution-centre/25209/,"Enemalta issued a call for tenders for the development of the Siġġiewi Distribution Centre, a new node of the national grid to reinforce electricity services to customers in this region, the government said Saturday. The Siġġiewi Distribution Centre is one of four new distribution centres that...",2024-02-24T10:49:09+00:00,positive,0.6857499480247498
Minister Ian Borg addresses the OSCE Parliamentary Assembly,https://maltabusinessweekly.com/minister-ian-borg-addresses-the-osce-parliamentary-assembly/25192/,"“As President of the OSCE, Malta believes in strong synergy between governments and parliamentary structures of member countries, with the aim of ensuring that this organisation remains effective and robust.” These were the words of Minister for Foreign and European Affairs and Trade and...",2024-02-23T14:23:57+00:00,neutral,0.5662589073181152
Renewable Energy Scheme and Feed in Tariffs extended for another year,https://maltabusinessweekly.com/renewable-energy-scheme-and-feed-in-tariffs-extended-for-another-year/25190/,"The Regulator for Energy and Water Services (REWS) together with the Ministry for the Environment, Energy and the Regeneration of the Grand Harbour has relaunched a set of schemes and investment initiatives to encourage more families and businesses to invest in renewable energy systems. The Feed...",2024-02-23T08:22:11+00:00,positive,0.757392168045044
"Over 1,500 companies declared a profit of over €1 million in 2022",https://maltabusinessweekly.com/over-1500-companies-declared-a-profit-of-over-e1-million-in-2022/25184/,"Over 1,500 companies declared a profit of over €1 million in 2022 according to data tabled in Parliament on Wednesday. Nationalist Party MP Jerome Caruana Cilia asked Finance and Employment Minister Clyde Caruana how many companies declared a profit of over €100,000, over €500,000, and over €1...",2024-02-22T12:49:57+00:00,neutral,0.7012513279914856
TradeMalta assists local companies to showcase their culinary delights at Gulfood 2024,https://maltabusinessweekly.com/trademalta-assists-local-companies-to-showcase-their-culinary-delights-at-gulfood-2024/25181/,"Now, at its 29th edition, Gulfood continues to serve as the top platform for uniting food and beverage communities globally. With over 5,500 companies hailing from more than 190 countries, Gulfood remains the largest food expo in the Middle East, providing unparalleled opportunities for industry...",2024-02-22T12:47:01+00:00,positive,0.8157815337181091
"Higher licence fee and tax on used cars not compatible with EU law, EU Court tells Malta",https://maltabusinessweekly.com/higher-licence-fee-and-tax-on-used-cars-not-compatible-with-eu-law-eu-court-tells-malta/25178/,A higher licence fee for used cars registered before 2009 was deemed illegal by the European Court of Justice. EU law prohibits taxes that favour domestic products over imports from other member states. The European Commission had taken the matter before the European Court of Justice to rule...,2024-02-22T12:45:06+00:00,neutral,0.6174759864807129
Last quarter of 2023 sees 37% drop in number of approved dwellings – NSO,https://maltabusinessweekly.com/last-quarter-of-2023-sees-37-drop-in-number-of-approved-dwellings-nso/25162/,"During the last quarter of 2023 a total of 1,292 new dwellings were approved, registering a decrease of 37.4 per cent when compared to the same quarter in 2022, the NSO said Tuesday. Approved residential building permits and dwellings Building permits are authorisations to initiate new building...",2024-02-20T12:28:06+00:00,negative,0.6650684475898743
PA initiates process to clarify interpretation of building height limitations,https://maltabusinessweekly.com/pa-initiates-process-to-clarify-interpretation-of-building-height-limitations/25143/,"The Planning Authority (PA) said Monday it has started the process to revise policy P35, which is a specific policy introduced in November 2015 through the Development Control Design Policy, Guidance and Standards (DC15). The purpose of this revision is to give a clearer and more consistent...",2024-02-19T20:07:31+00:00,neutral,0.8385500907897949
HV Hospitality welcomes confirmation of Comino hotel ERA decision,https://maltabusinessweekly.com/hv-hospitality-welcomes-confirmation-of-comino-hotel-era-decision/25131/,HV Hospitality welcomes today’s decision by the Environment and Planning Review Tribunal (EPRT). This confirms that the environmental studies carried out in relation to the project were correct. HV Hospitality envisions Six Senses Comino as an eco-luxury destination that meets Malta’s tourism...,2024-02-15T13:59:28+00:00,positive,0.7105866074562073
EP accepts MEP Alex Agius Saliba’s request to investigate Maltese monopolies in food retail,https://maltabusinessweekly.com/ep-accepts-mep-alex-agius-salibas-request-to-investigate-maltese-monopolies-in-food-retail/25120/,The Petitions Committee within the European Parliament has approved a petition presented by Labour MEP Alex Agius Saliba which calls on the European Commission to investigate whether the mechanisms of de-facto monopolies are leading to an artificially higher prices in the food retail sector in...,2024-02-15T10:02:05+00:00,negative,0.8361970782279968
‘Environmental transition can be turned into greatest economic opportunity of our generation’ – PM,https://maltabusinessweekly.com/environmental-transition-can-be-turned-into-greatest-economic-opportunity-of-our-generation-pm/25103/,"Prime Minister Robert Abela said that the environmental transition underway can be turned into the greatest economic opportunity of the current generation, if the right decisions are made. Abela addressed Parliament on Wednesday during the debate of the Climate Action Bill, which proposes the...",2024-02-15T07:34:27+00:00,positive,0.7288046479225159
Malta’s real GDP growth remains strong at 6.1% – European Commission,https://maltabusinessweekly.com/maltas-real-gdp-growth-remains-strong-at-6-1-european-commission/25122/,"After exceptional growth in 2022 (8.1%), Malta’s real GDP growth is estimated to have remained strong at 6.1% in 2023, the European Commission said Thursday in its winter report. This is higher than projected in the Autumn Forecast and is due to upward revisions of economic activity in the first...",2024-02-15T00:45:00+00:00,positive,0.9468381404876709
EP President Roberta Metsola visits Teva Malta,https://maltabusinessweekly.com/ep-president-roberta-metsola-visits-teva-malta/25085/,"Teva Malta extended a warm welcome to the President of the European Parliament Roberta Metsola at its plant in Bulebel, where she toured the state of the art facilities and engaged in a positive discussion with the site leadership and employees. The leader in the local pharmaceutical...",2024-02-14T10:47:39+00:00,positive,0.8789380192756653
"Freight costs have nearly tripled, Red Sea instability adding to woes of EU tax – Maritime Forum CEO",https://maltabusinessweekly.com/freight-costs-have-nearly-tripled-red-sea-instability-adding-to-woes-of-eu-tax-maritime-forum-ceo/25070/,"It is currently difficult to truly assess the exact impacts of the recently implemented EU shipping tax due to the unstable situation in the Red Sea, the CEO of the Malta Maritime Forum Kevin J. Borg told The Malta Independent. In an interview with this newsroom in November 2023, the MMF CEO had...",2024-02-12T15:24:14+00:00,neutral,0.5881189107894897
Gozo organisations welcome stone façade policy,https://maltabusinessweekly.com/gozo-organisations-welcome-stone-facade-policy/25061/,"The Gozo Business Chamber, the Gozo Tourism Association and the Għal Għawdex Forum have all welcomed the announcement by the Ministry for Gozo and Planning of a new design policy for the island of Gozo. This would see the introduction of stone facades for all new buildings on the island...",2024-02-12T13:05:35+00:00,positive,0.7714850306510925
"Just over 1,100 final deeds of sale and promise of sale agreements registered in January",https://maltabusinessweekly.com/just-over-1100-final-deeds-of-sale-and-promise-of-sale-agreements-registered-in-january/25055/,"In January 2024, the number of final deeds of sale and promise of sale agreements relating to residential property amounted to 1,112 and 1,157, respectively, data published by the National Statistics Office shows. The NSO presented provisional data on residential property sale transactions based...",2024-02-09T14:16:00+00:00,neutral,0.9302146434783936
"Geo-political tensions persist, but low public debt and high bank liquidity help",https://maltabusinessweekly.com/geo-political-tensions-persist-but-low-public-debt-and-high-bank-liquidity-help/25023/,"The Malta Chamber of Commerce, Enterprise and Industry organised a conference in collaboration with Bank of Valletta to explore the recent and expected economic developments and trends, in the context of the baseline trajectory for the Maltese economy, and the upside and downside risks...",2024-02-09T08:41:00+00:00,neutral,0.8167166113853455
‘Decarbonisation in the maritime industry is well and truly underway’ – MMF chairman,https://maltabusinessweekly.com/decarbonisation-in-the-maritime-industry-is-well-and-truly-underway-mmf-chairman/24997/,"Decarbonisation in the maritime industry is well and truly underway, chairman of the Malta Maritime Forum (MMF) Godwin Xerri said. Xerri was addressing criticism being made about the shipping sector, arguing that “certain incorrect information appearing in media contributions is of concern to...",2024-02-08T10:57:00+00:00,negative,0.8484553098678589
Things are not looking good!,https://maltabusinessweekly.com/things-are-not-looking-good/24994/,"Last week, European farmers took the streets to protest against the EU rules, which rules are leaving them without a proper living. I am told that the European Commission is being pressured to lax some of the rules that are hampering the farmers’ produce on the market. The lifting of quotas of...",2024-02-08T10:54:04+00:00,negative,0.950325608253479
The recent divergence of food inflation in Malta,https://maltabusinessweekly.com/the-recent-divergence-of-food-inflation-in-malta/24984/,"Inflation continues to remain high on the national debate agenda. As I had shown a fortnight ago, inflation in goods and services is on the decline in Malta and lower than in the euro area. This trend continued with the latest data published last month by Eurostat. However, citizens’ view on...",2024-02-08T10:34:14+00:00,negative,0.8157742023468018
Signals,https://maltabusinessweekly.com/signals/24982/,"It comes as no surprise that the IMF has once again stressed the importance of increasing our productivity and for the government to implement a less expansionary fiscal policy, especially in view of the present inflationary situation and within the reality of such a tight labour market. They...",2024-02-08T10:28:21+00:00,positive,0.9160830974578857
Malta Business Bureau reaffirms its role as Malta’s business gateway to the EU,https://maltabusinessweekly.com/malta-business-bureau-reaffirms-its-role-as-maltas-business-gateway-to-the-eu/24947/,"The Malta Business Bureau (MBB) has unveiled its revitalised brand identity. This represents a significant milestone for the organisation, marking exactly 13 years since its last rebranding exercise. MBB’s fresh identity reaffirms its commitment to be always vigilant of the ever-changing trends...",2024-02-07T12:54:16+00:00,positive,0.8943091034889221
NGO urges government to transition as much electricity generation to renewable sources as possible,https://maltabusinessweekly.com/ngo-urges-government-to-transition-as-much-electricity-generation-to-renewable-sources-as-possible/24937/,"Friends of the Earth Malta (FoEM) said that it welcomes the news about the first potential floating solar farm, with the government issuing a preliminary market consultation regarding the development of a 50MW solar project off the Maltese coast. It said that Malta needs to transition as much of...",2024-02-07T11:45:27+00:00,positive,0.7149854302406311
Paceville junction to be upgraded in major multi-million infrastructural development,https://maltabusinessweekly.com/paceville-junction-to-be-upgraded-in-major-multi-million-infrastructural-development/25006/,"The junction which connects Swieqi and St Julian’s together is set for an upgrade in a major infrastructural project which will lead to a similar set up as exists in Kappara some kilometres away. Announced in a technical briefing on Wednesday, the project will see the removal of the traffic...",2024-02-07T11:38:00+00:00,positive,0.650871753692627
Solidarjetà: New and independent general trade union launched,https://maltabusinessweekly.com/solidarjeta-new-and-independent-general-trade-union-launched/24931/,"A new workers' union called Solidarjetà is up and running in Malta, with a sub-section dedicated to tenants rights. The union received its registration late last year and has started operating today. It was set up to empower both workers and tenants, and the union will actively work towards...",2024-02-07T11:37:27+00:00,neutral,0.6131372451782227
Scheme for businesses to strengthen their cybersecurity launched,https://maltabusinessweekly.com/scheme-for-businesses-to-strengthen-their-cybersecurity-launched/24924/,"The Minister for Economy, Investment, and Small Businesses, Silvio Schembri, has launched a scheme aimed at enhancing the security and resilience of businesses in the country by offering specialized awareness and cybersecurity services. This financing scheme, named Cyber Assess, is being...",2024-02-06T07:38:00+00:00,positive,0.8375265598297119
President Vella and President Rinkēvičs confirm the excellent relations between Malta and Latvia,https://maltabusinessweekly.com/president-vella-and-president-rinkevics-confirm-the-excellent-relations-between-malta-and-latvia/24913/,"President of Malta George Vella and Mrs Miriam Vella welcomed the President of Latvia, Edgars Rinkēvičs, at Sant’Anton Palace in Attard. President Vella and President Rinkēvičs confirmed the excellent bilateral relations between Malta and Latvia. During the official talks, the two Presidents...",2024-02-05T09:45:00+00:00,positive,0.9386655688285828
Ukraine as the first official visit of Minister Borg as OSCE Chairperson-in-Office,https://maltabusinessweekly.com/ukraine-as-the-first-official-visit-of-minister-borg-as-osce-chairperson-in-office/24905/,"In Kyiv, Ukraine, as part of his first visit as OSCE Chairperson-in-Office, Minister for Foreign and European Affairs and Trade Ian Borg had a meeting with President of Ukraine Volodymyr Zelenskyy. President Zelenskyy thanked Malta’s aid to Ukraine. He stressed that the friendship between both...",2024-02-03T10:38:25+00:00,positive,0.8955563902854919
Agreement reached on revision of European Budget,https://maltabusinessweekly.com/agreement-reached-on-revision-of-european-budget/24884/,"During a special European Council summit in Brussels, an agreement was reached between the twenty-seven Heads of State and Government on the revision of the mid-term European Budget, better known as the Multiannual Financial Framework 2021-2027, the MFF. In this revision, Ukraine will receive...",2024-02-02T10:35:13+00:00,positive,0.7325060963630676
