headline,date,description,sentiment,sentiment_score
BOV makes waves with staff summer activities,2024-09-20 10:41:00,"Bank of Valletta has delivered an exciting and memorable summer schedule of activities for its employees, with a series of engaging events organised by the Bank of Valletta Sports and Social Committee...",positive,0.7432226538658142
HR GIG 9: Emphasizing the importance of customer and employee experience,2024-09-20 09:11:00,"The 9th edition of HR GIG marked a significant milestone, becoming Malta's inaugural CX Conference. Hosted by renowned TV personality Stephanie Spiteri, the event took place at the Grandmaster...",positive,0.6943211555480957
Universal Air launches new Malta-Tripoli route to strengthen business links,2024-09-19 16:10:00,"Universal Air is announcing the launch of a new flight connecting Malta to Tripoli, Libya, further expanding its international route network and strengthening business ties between the two...",positive,0.9467015862464905
Melita expands retail network,2024-09-17 15:01:00,"Melita Limited has expanded its physical retail network with the opening of a new outlet in Żabbar. The company is also growing its network of exclusive resellers, recently welcoming Gadget...",positive,0.9416340589523315
Central Bank of Malta Acting Governor participates in ECOFIN meetings in Hungary,2024-09-16 11:02:00,"The Acting Governor of the Central Bank of Malta, Alexander Demarco, participated in the informal Economic and Financial Affairs (ECOFIN) meetings held in Budapest, Hungary, between 13 and14 September...",neutral,0.9169971346855164
"University of Malta and CareMalta Group, sign MoU to enhance residents’ safety",2024-09-16 10:53:00,"The Department of Health Systems Management and Leadership within the Faculty of Health Sciences at the University of Malta, and CareMalta Group (CareMalta and HILA) have signed a Memorandum of...",positive,0.9382151365280151
Commission free offer when you invest with MeDirect,2024-09-12 14:19:00,"MeDirect, Malta's first digital bank, is offering new and existing customers the opportunity to invest in mutual funds, bonds, equities and ETFs without incurring any brokerage fees. This offer will...",positive,0.7465091347694397
Number of tourists coming to Malta up by 18.5% in July,2024-09-12 11:54:00,"Total inbound tourists for July 2024 were estimated at 385,591, an increase of 18.5 per cent when compared to the corresponding month in 2023, the National Statistics Office said on...",positive,0.9461156725883484
Interesting Technological Developments That Have Changed the Landscape of Online Gaming,2024-09-12 10:22:00,The growth in the online gaming industry has however been fast in the recent past due to technological development. Ranging from how games are played to how they are marketed and even how they are...,neutral,0.8420445919036865
HSBC Malta says it is not aware of any negotiations between its majority shareholder and APS Bank,2024-09-12 09:08:00,"HSBC Bank Malta has said that it is not aware of any negotiations taking place between its majority shareholder, HSBC Holdings plc, and APS Bank. On Wednesday morning, HSBC Malta issued a...",neutral,0.9028708934783936
25 years of the Malta Tourism Authority commemorated in a special event,2024-09-11 11:40:00,"The Malta Tourism Authority (MTA) celebrated its 25th anniversary on 9 September with a special commemorative event held at the historic Auberge d'Italie in Valletta, the former home of the MTA,...",positive,0.743777871131897
"957 deeds of sale and 1,000 promise of sale agreements for residential properties signed in August",2024-09-11 11:21:00,"In August 2024, the number of final deeds of sale relating to residential property amounted to 957, a decrease of 3.4% when compared to those registered in August 2023, the National Statistics Office...",negative,0.9238498210906982
Academy of Givers launches the second Giving Report,2024-09-09 14:23:00,"The Academy of Givers proudly announced the launch of the second edition of the Giving Report, a pioneering initiative to shed light on the local Giving Sector. After the wide success of last...",positive,0.697138249874115
Sicilia Outlet Village unveils exciting end-of-year promotions and activities,2024-09-09 11:50:00,"Sicilia Outlet Village, the largest outlet village in Italy, is proud to announce an array of end-of-year promotions and activities that promise a unique shopping experience. With 170 international...",positive,0.8977461457252502
It used to be a marvel to holiday in Europe,2024-09-08 08:00:00,"The advent of the Covid-19 pandemic, while devastating on many fronts, unexpectedly granted locals a brief reprieve from the relentless influx of tourists. Yet, with the resurgence of global travel,...",positive,0.7358269095420837
BOV partners with Special Olympics Malta ahead of 2024 national games,2024-09-06 13:42:00,Bank of Valletta is the Official Partner of Special Olympics Malta for the 2024 National Games being held in Malta between 12 and 15 September. The National Games will see over 600 athletes with...,positive,0.5084906220436096
BOV hosts MASS in courtesy visit,2024-09-05 10:48:00,Bank of Valletta recently hosted the Malta Association of Small Shareholders (MASS) at the House of Four Winds in Valletta. This courtesy visit forms part of the bank's outreach programme and its...,neutral,0.7235320210456848
Game Lounge unveils its new EVP to global workforce,2024-09-05 10:37:00,"Game Lounge, a frontrunner in the iGaming affiliate industry, has unveiled its new Employee Value Proposition (EVP). The initiative underscores the company's unwavering commitment to nurturing a...",positive,0.8736735582351685
Von der Heyden Group pushes for sustainable solutions in hospitality and construction,2024-09-03 10:57:00,"""With real estate and development being key areas of business for our Group, the pressure on companies like ours in the context of the European Green Deal, evidently has become higher and from our end...",positive,0.7520822286605835
Lombard Bank announces strong H1 2024 results,2024-09-03 10:28:00,"Lombard Bank Malta plc announced its results for the first half of the financial year 2024. Profit before Tax reached €11.4m, up from €5.4m in the same period last year. Across key...",positive,0.9575232863426208
Are we past the pandemic woes?,2024-09-01 08:00:00,"Economists warn us that the pandemic had led to budget reallocations, with immediate financial support directed towards pandemic relief for expensive health products and saving unproductive...",positive,0.6205783486366272
APS Bank kicks off 2025-2027 business planning process,2024-08-30 10:28:00,The business planning season at APS Bank started recently with Board members and senior management meeting to chart the Bank's direction for the coming three years. The full-day event featured a...,neutral,0.6611473560333252
"bet365 becomes UEFA Champions League partner, announces ticket giveaway",2024-08-30 10:27:00,"bet365 is celebrating becoming an Official Global Partner of the UEFA Champions League (UCL), by giving back to fans of the beautiful game. The sports betting brand is making history by launching one...",positive,0.6631661057472229
Countdown to DORA,2024-08-29 07:53:00,"The Malta Bankers' Association (MBA) is pleased to announce an upcoming webinar titled ""DORA - 4 months to go."" This event is scheduled for the 17th September, exactly four months before the new...",neutral,0.9237307906150818
Grigoriy Burenkov: 'A perfect storm has taken shape for correction of markets',2024-08-28 11:05:00,"By the looks of it, the early August seemed to be a catastrophe for the global economy. The stock markets made it through one of the biggest collapses for some time passed, which many have branded the...",negative,0.8697102069854736
The Brewhouse and Trident Park project adds another international award to its name,2024-08-26 09:46:00,The Brewhouse and Trident Park project has received The International Architecture Award® for 2024 by The Chicago Athenaeum: Museum of Architecture and Design and The European Centre for...,positive,0.8117011785507202
The Phoenicia Malta joins Historic Hotels Worldwide,2024-08-22 10:49:00,"The Phoenicia Malta has been inducted into Historic Hotels Worldwide®, an official programme that celebrates the finest historic hotels around the world. The accolade places The Phoenicia...",positive,0.7492195963859558
Registrations open for the fourth edition of the Start Up Festival Malta,2024-08-21 15:15:00,"The fourth edition of the Start Up Festival, is set to take place on 17 and 18 October at the Malta Fairs and Conventions Centre (MFCC) and the adjacent park in Ta' Qali, Malta. Building on the...",neutral,0.6892520189285278
MeDirect makes digital wallets accessible for card users,2024-08-21 12:07:00,"MeDirect Bank customers can now connect their debit card to their Google Wallet, giving them the opportunity to start using Google Pay to make online and contactless in-store purchases through their...",positive,0.6792259812355042
Hudson sponsors the Malta Team for the Paris 2024 Paralympic Games,2024-08-20 15:24:00,"Once again, Hudson will be sponsoring the Malta Paralympic team through its leading brand Nike, for the Paris 2024 Paralympic Games, being held between August 28 and September 8, 2024. As main...",neutral,0.7737210392951965
Malta’s innovation ecosystem under the spotlight as new EIT Community RIS hub hosts first national e,2024-08-20 14:02:00,"Stakeholders from the fields of technology, science, industry, finance and education will gather for the first national event to be organised by the recently established EIT Community RIS Hub Malta....",neutral,0.7313416004180908
BOV launches new corporate Social Responsibility Foundation,2024-08-20 14:01:00,"Bank of Valletta has just launched a new foundation, the Bank of Valletta (BOV) Foundation, a non-profit making organisation aimed primarily at benefiting the general public and Maltese society at...",neutral,0.5221309661865234
bet365 becomes official global partner of the UEFA Champions League,2024-08-20 14:00:00,"bet365, one of the world's leading online betting companies, is delighted to announce a historic sponsorship agreement, becoming the first official sports betting partner of the UEFA Champions League...",positive,0.9063348770141602
APS Bank celebrates significant Retail Banking milestones,2024-08-20 13:56:00,"APS Bank announces that its retail deposit book has now surpassed €3 billion, while the retail lending book has reached €2 billion. These important milestones underscore the Bank's...",positive,0.9442310333251953
Robotaxi – one solution for congested roads,2024-08-18 08:30:00,"Of late, a number of polemics arose around the number of new imported cars registered with ""Y"" plates crowding the streets. It is about time that there needs to be some form of incentive to...",neutral,0.7179320454597473
Malta's nascent film sector,2024-08-11 08:00:00,"What brings famous actors Brad Pitt, Angelina Jolie, Tom Hanks and top directors Steven Spielberg and Micheal Bay to Malta? The answer would be high-quality movie productions valuing the Maltese...",neutral,0.7770863771438599
Bank of Valletta elevates talent with exclusive London training,2024-08-09 13:35:00,"Bank of Valletta continues to invest in the professional growth of its employees, reinforcing its commitment to excellence in the financial industry. As part of this effort, BOV Asset Management sent...",positive,0.8897125720977783
MFSA prioritising financial literacy,2024-08-09 13:21:00,"Consumer protection is a strategic pillar for the MFSA. By championing financial literacy and promoting a stable financial system, the Authority is committed to fostering responsible and informed...",positive,0.5138232707977295
GO registers €14.3m in profit in first six months of 2024,2024-08-09 13:18:00,GO plc has published its interim financial report for the first half of 2024 showing revenue of €113.5 million which led to a consolidated profit before tax of €14.3 million for the first...,positive,0.8071588277816772
HSBC Malta Foundation raises awareness for the conservation of the endemic Maltese Honeybee,2024-08-09 10:28:00,"The Foundation for the Conservation of the Maltese Honeybee (KNM), in partnership with HSBC Malta Foundation, is proud to announce the release of a new A6 postcard promoting the National Insect...",positive,0.7416144609451294
MACE returns for its 6th edition exploring ‘Beyond the Horizon’,2024-08-09 10:27:00,"The Malta Aviation Conference and Expo (MACE) returns for its sixth edition this October, taking place at the Hilton Hotel in Malta from 2 to 3 October. This year's theme, Beyond the Horizon, aims to...",neutral,0.6595856547355652
"GO launches VoLTE, marking a major milestone in mobile technology evolution",2024-08-09 10:26:00,"GO is proud to announce the launch of Voice over 4G LTE (VoLTE), a significant advancement in mobile technology that transforms how customers experience mobile communication. With this launch, GO...",positive,0.8484342098236084
APS Bank announces open call for CSR funding applications for 2025,2024-08-09 10:24:00,APS Bank is pleased to announce an open call for funding applications for its 2025 Corporate Social Responsibility (CSR) Programme. This initiative aims to support projects aligning with the Bank's...,positive,0.8581705689430237
Financial literacy online course for entrepreneurs,2024-08-06 13:53:00,An interactive online course held later this year will help equip aspiring and existing entrepreneurs aged 18 and over with crucial financial tools and skills. Your GPS for Financial Success:...,neutral,0.7331897020339966
"Nestlé Malta donates over 8,640 packets of Nesquik biscuits to local NGOs",2024-08-05 12:10:00,"In a heartfelt gesture to support the noble efforts of local NGOs, Nestlé Malta has generously donated more than 8,640 packets of Nesquik biscuits to ten organisations dedicated to helping the...",positive,0.8362202048301697
Gen Z and the struggle for quality education,2024-08-04 08:30:00,"Generation Z, known as the iGeneration or the first digital natives, born between the mid-1990s and early 2010s, is currently navigating the complex landscape of education and entering the job market....",neutral,0.8739804625511169
Atlas Insurance stands behind Neil Agius once again,2024-08-01 16:55:00,"Atlas Insurance is standing proudly behind Neil Agius as he gears up for another world record attempt, challenging himself to swim 160km circling the Maltese Islands. This effort marks a significant...",positive,0.8129149675369263
Reflections on AI,2024-07-31 15:16:00,"Bring together mathematics, increased processing power and big data, and the result is Artificial Intelligence. Although AI has made headlines over the past few years, it is by no means a new topic,...",neutral,0.9217211604118347
Good reads for balmy nights,2024-07-28 08:30:00,"Living on a small island requires a sense of humour. Maltese are facing higher summer temperatures with unusual July temperatures of 37 degrees, with a real feel heat of 40 degrees, while the UV index...",neutral,0.8420808911323547
MeDirect and Epic announce new partnership,2024-07-26 12:21:00,"MeDirect, Malta's first digital bank and Epic, Malta's leading communications services provider, announce a new partnership that will leverage the strengths of both organisations while enhancing...",positive,0.9257217049598694
"BOV Visa cardholders win all-inclusive Olympic games package, thanks to Visa",2024-07-25 11:25:00,"As part of the run-up to The Olympics and Paralympic Games Paris 2024, Bank of Valletta (BOV) Visa cardholders were offered an exclusive opportunity to witness a unique Olympic experience at the...",positive,0.8786885738372803
Philatelic Issue: Olympic Games 2024,2024-07-24 12:13:00,"The 2024 Summer Olympics, officially the Games of the XXXIII Olympiad, commonly known as ""Paris 2024"", is a major international multi-sport event held every four years. With more than 200 national...",neutral,0.9205232858657837
The Concept Stadium enters strategic partnership with JCI Europe,2024-07-24 11:59:00,"The Concept Stadium, a local Creative Marketing Agency, is announcing its collaborative partnership with JCI Europe, the international not-for-profit organisation dedicated to nurturing the growth and...",positive,0.8568956255912781
Balancing Act: Europe's strategy for economic resilience and openness,2024-07-21 08:59:00,"In recent years, Europe has faced unprecedented challenges that have tested the resilience and security of its economy. The global pandemic, Russia's invasion of Ukraine, and escalating geopolitical...",negative,0.8469574451446533
Silently waiting for next hydrogen revolution,2024-07-21 08:00:00,"In one of her State of the European Union addresses, Commission President von der Leyen announced the establishment of the NextGen project. Its ambitious plan is worth €723bn and is...",positive,0.5398467183113098
BOV volleyball team faces Dar tal-Providenza players in friendly match,2024-07-19 14:37:00,"Earlier this week, the newly set up BOV Volleyball team competed in a spirited friendly match against some of the official players participating in the BOV Dar tal-Providenza Volleyball Marathon this...",positive,0.7337329983711243
Moneybase and Mastercard launch Summer Cashback Campaign and exclusive travel privileges,2024-07-18 14:13:00,"Moneybase announces a new partnership with Mastercard, launching two exciting initiatives: Summer Cashback Campaign and Mastercard Privileges   Starting from July 8th until September 23rd, 2024,...",positive,0.6681669354438782
HSBC Malta welcomes summer interns with exciting future skills programme,2024-07-18 10:36:00,"HSBC Malta recently welcomed this year's summer interns, providing them with a memorable start to their internship experience. Qualifying students from the JA Malta Foundation, MCAST's Institute of...",positive,0.8934276103973389
"London, New York… and now Valletta! ‘Sustainability Live’ coming to Malta for major ESG event",2024-07-17 12:19:00,Sustainability LIVE is coming to Malta with a major conference and expo that will bring together business and ESG leaders from various organisations and industries around the world. Voted the top...,positive,0.7022008299827576
Vivian announces representation of global women’s health giant Theramex,2024-07-17 12:17:00,"Leading healthcare and wellness company Vivian is announcing its official representation in Malta of Theramex, a global speciality pharmaceutical company that specialises in women's health...",positive,0.5106775760650635
GonnaOrder integrates Apcopay for enhanced payment processing solutions,2024-07-16 19:25:00,"GonnaOrder, a leading provider of digital hospitality ordering solutions, has announced a new partnership with Apcopay to integrate advanced payment capabilities into its platform. This partnership...",positive,0.9119760990142822
Expeditiously promoting the financial services sector,2024-07-14 08:00:00,"In Malta, the promotion and regulation of financial services are primarily overseen by several key institutions and organisations. These entities work together to ensure the stability, integrity and...",neutral,0.9141709208488464
Special offer on Unit-Linked Personal Pension Plans from BOV and MAPFRE MSV Life,2024-07-12 11:04:00,Bank of Valletta is pleased to announce a special limited-time offer on unit-linked personal pension plans in collaboration with MAPFRE MSV Life. Bank customers who sign up for a new MAPFRE MSV Life...,positive,0.7147579193115234
BOV ‘Rebbiegħa’ initiative announces projects to drive community development,2024-07-12 10:59:00,Bank of Valletta is proud to announce the five projects that will be spearheading community development across Malta and Gozo over the coming year as part of the BOV Rebbiegħa CSR Initiative....,positive,0.8309524655342102
Thinking home renovations? Think new PVC apertures from Finestral,2024-07-11 12:54:00,"We Maltese take great pride in our homes, striving to make them welcoming for ourselves and our guests. Sometimes, this comes at the expense of practicality. Typically, home renovations bring to mind...",neutral,0.8842087984085083
Green financing – the way forward to sustainable development,2024-07-10 14:02:00,"One of the latest innovative trends within the local business community is the implementation of ""green"" projects, with a particular emphasis on green financing as a way for businesses to achieve...",positive,0.7550584077835083
"Crowdfunding – as much about the crowd it creates, as the funds it raises",2024-07-10 13:59:00,"Crowdfunding doesn't just raise money - it can also help business, cultural, research and community ventures to achieve their goals. Although a globally popular form of alternate finance,...",neutral,0.8739181756973267
Express Trailers completes new cross dock project,2024-07-10 11:36:00,"Express Trailers has inaugurated a new €600,000 investment in a third temperature-controlled warehouse and a new cross-dock facility for the loading and unloading of pharmaceutical cargo in...",positive,0.8411179184913635
Abigail Agius Mamo to depart from CEO Role at the Malta Chamber of SMEs,2024-07-09 15:08:00,"The Malta Chamber of SMEs has announced that its CEO, Abigail Agius Mamo, has decided to step down from the position. ""Agius Mamo has been an integral part of the SME Chamber for the past 17...",neutral,0.6617772579193115
Businesses to discuss sustainability at Terra 2024,2024-07-08 10:25:00,"Chiara Del Prete Efrag, the European Financial Reporting Advisory Group, was tasked by the European Commission to draft the European Sustainability Reporting Standards...",neutral,0.8028439283370972
A wake-up call from Salon – the Ancient Greek law-giver,2024-07-07 08:30:00,"In retrospect, an ancient Greek philosopher and poet Salon (the law-giver) warns us to keep our emphasis on virtue and self-control. Such behaviour serves as a reminder that ethical and...",neutral,0.8090004920959473
daves Food Stores and 9H Digital unveil the future of grocery shopping in Malta,2024-07-02 15:47:00,"daves Food Stores, in partnership with 9H Digital, launched the future of grocery shopping in Malta, the first premier supermarket e-commerce apps for iOS and Android. This revolutionary app is poised...",neutral,0.528702437877655
BOV supports landmark Puttinu Cares London apartment project,2024-07-02 13:02:00,"It's the big 50 for Bank of Valletta, an important milestone in the Bank's history, which is being celebrated throughout the year with various activities and events for the Bank's customers and major...",positive,0.7762895226478577
BOV directors and executives pay courtesy visit to the President of Malta,2024-07-02 12:01:00,"Bank of Valletta's Chairman Dr Gordon Cordina, CEO Kenneth Farrugia, Directors and Executive Committee members paid a courtesy visit to H.E. Myriam Spiteri Debono at Sant'Anton Palace in...",neutral,0.8221933245658875
"Due to ETS, all flights within Europe will be subject to a surcharge",2024-06-30 08:00:00,One may ask what are the rules set by the European Union Emissions Trading System (EU ETS). How can the ETS work in practice to reduce emissions and encourage the aviation sector to invest in cleaner...,neutral,0.8823677897453308
The Verdala Terraces networking experience,2024-06-27 12:28:00,"The Verdala Terraces, Malta's most prestigious upcoming residential address in Rabat, recently hosted an exclusive event in partnership with Azimut Yacths Malta, Porsche, and Veuve Clicquot, unveiling...",positive,0.7680045366287231
Malta’s financial sector continues to thrive with 11.8% growth in 2023 – MFSA Annual Report,2024-06-27 08:19:00,"The Malta Financial Services Authority (MFSA) released its Annual Report, highlighting the stability and resilience of the Maltese financial services industry in 2023. Malta's financial services...",positive,0.5336830019950867
Finance Minister dismisses worries on excessive deficit procedure against Malta,2024-06-26 19:29:00,"Finance Minister Clyde Caruana has said that he is confident that Malta can abide by the EU’s debt threshold within the next four years, stating that people need not worry about the state of the...",positive,0.8112660646438599
Universal Air extends summer schedule with bi-weekly flights to new Salerno Costa d'Amalfi Airport,2024-06-26 10:42:00,"Universal Air is announcing the launch of new bi-weekly flights between Malta and Salerno Costa d'Amalfi Airport, starting Thursday, 25 July 2024. This comes after Universal Air recently launched its...",positive,0.8309444189071655
Malta Bankers’ Association appoints Kenneth Farrugia as its new chair,2024-06-26 10:05:00,"Kenneth Farrugia, CEO Bank of Valletta plc, has been elected Chair of the Malta Bankers' Association (MBA) for the coming term of office i.e. 2024 - 2026. His appointment was announced following an...",neutral,0.8884207010269165
MCST receives ‘Best Practice in Good Governance Award’,2024-06-25 14:59:00,"In this year's edition of the Public Service Awards ceremony, the Malta Council for Science and Technology received the 'Best Practice in Good Governance Award' from among all public...",positive,0.8828670382499695
MTA and VisitMalta Incentives & Meetings honoured at 14th Annual Business Excellence Awards in Hunga,2024-06-25 14:58:00,The Malta Tourism Authority (MTA) and VisitMalta Incentives & Meetings were honored with the prestigious foreign destination marketing service company award at the 14th Annual Business Excellence...,positive,0.9154210090637207
Employee engagement at the fore during successful BOV quiz night,2024-06-25 14:55:00,"On a warm evening in Birzebbuga, Bank of Valletta demonstrated its commitment to fostering a vibrant and inclusive work environment for its people by hosting its largest trivia event to date....",positive,0.916936457157135
HSBC Malta supports career development at St Ignatius College Ħandaq Secondary School,2024-06-25 14:53:00,HSBC Malta is proud to announce its partnership with St Ignatius College Ħandaq Secondary School in organising a series of mock job interviews in an initiative aimed at boosting the career...,positive,0.9078587889671326
Fund Managers Conference 2024 brings together industry leaders for insightful discussions,2024-06-24 21:51:00,"Leading fund managers and local financial services providers convened at The Pavilion Suite at the Westin Dragonara Resort in St Julian's last month for the 2024 Fund Managers Conference, coordinated...",neutral,0.7844366431236267
"Government debt rose from €4.9bn in 2012, to €9.8bn in 2023",2024-06-24 18:56:00,"General government debt rose from €4.9 billion in 2012, to €9.8 billion in 2023, information tabled in Parliament shows. In 2019, debt stood at €5.7bn, but then began rising more...",positive,0.9414756298065186
Feltom struggles to find host families post-Covid-19 pandemic,2024-06-23 09:00:00,"Ensuring a welcoming environment for international students is crucial for Feltom-accredited schools in Malta, yet the availability of host families has posed challenges this summer.  Rebecca...",positive,0.6564612984657288
Land Registration Agency to update its strategy to better address today’s realities,2024-06-22 12:16:00,The Land Registration Agency is in the process of updating its overall strategy in a way that acknowledges all aspects of land registration as well as contemporary realities. This strategy update is...,neutral,0.8207330107688904
"Chamber of Commerce highlights 'critical, imminent need for reform in public procurement'",2024-06-22 11:42:00,"Reports published by the NAO, decisions handed down by the appeals board and court judgements are repeatedly confirming that our public procurement system is not functioning transparently and...",negative,0.7534663081169128
Malta’s commitment towards a just and sustainable green transition remains strong – Minister Dalli,2024-06-22 09:44:00,"Work is being carried out on Malta’s 2024 National Energy and Climate Plan (NECP), a plan that will lay down the country’s pathway to transition towards a more decarbonised...",positive,0.6849640607833862
New ‘employment-focused’ sixth form launched by Central Mediterranean Business School,2024-06-21 12:17:00,"Central Mediterranean Business School (CMBS) on Tuesday announced the opening of a new private Sixth Form, offering innovative “job-focused” courses in collaboration with leading...",positive,0.7877787947654724
Malta´s international road haulage story – expect a bumpy ride,2024-06-20 15:15:00,"On 5 June 2023, all revisions of the EU emissions trading system ('ETS') Directive entered into force. The ETS Directive on Shipping obliges ships to surrender Emission Unit Allowances (EUAs) to...",neutral,0.8229928612709045
"Third edition of EY Engage focuses on enterprise, AI, business transformation",2024-06-20 14:57:00,"The third edition of EY Engage, held at the Intercontinental Hotel Arena on 19 June, focused on six key areas of interest: Enterprise IT Transformation, Data & AI,  Business Transformation...",neutral,0.9257048964500427
MeDirect achieves top sustainability ranking,2024-06-17 13:47:00,"MeDirect, Malta’s first digital bank, has been awarded the EcoVadis Platinum Medal. This prestigious award, presented by one of the most trusted providers of business sustainability ratings,...",positive,0.9089909791946411
Political soundbites and ‘Canterbury Tales’,2024-06-16 08:00:00,"Readers may ask why I am making an analogy to Canterbury Tales.  The answer is because some of the moral lessons garnered from this masterpiece, written by Geoffrey Chaucer in 1392, can be...",neutral,0.8906663060188293
The Future of Gaming Investments: Innovate Change Casino Forecasts Post-Malta Regulatory Changes,2024-06-14 09:49:00,Innovate Change Casino examines the transformational changes taking place in the gambling industry as a result of recent changes in Maltese legislation. The publication provides a comprehensive...,neutral,0.887374758720398
MCAST reinforcing security on Campus,2024-06-14 09:26:00,"The Malta College of Arts, Science, and Technology (MCAST) has started a new initiative aimed at reinforcing safety and security measures within the College. In our continuous efforts to...",positive,0.8381280303001404
Importation on the rise while exportation going down in Malta as of April 2024 – NSO,2024-06-13 15:47:00,"The NSO said Thursday that in April 2024, Malta registered a trade deficit of €332.4 million, compared to a deficit of €493.4 million in the corresponding month of 2023. It said that imports...",negative,0.8699374794960022
Value of residential property deals in May reaches more than €300m – NSO,2024-06-13 14:55:00,"The NSO said Thursday that in May 2024 the number of final deeds of sale relating to residential property amounted to 1,077, that is a decrease of six deeds when compared to those registered in May...",negative,0.8841848969459534
"MEA consultant says recent scandals ‘rocked country, shattered trust’",2024-06-13 13:45:00,"There is a strong sense among the Maltese social partners and civil society about the need to address a worsening deficit in the rule of law, MEA president Joe Farrugia said Wednesday.  In...",positive,0.7266826629638672
4.6% rise in number of persons in employment – NSO,2024-06-13 12:21:00,"During the first quarter of 2024, the Labour Force Survey estimates that total number of persons in employment was 306,571, 4.6 per cent higher when compared to the previous year, the NSO said...",positive,0.77946537733078
"13% of Maltese accessed or streamed content from illegal online sources to watch sports, study finds",2024-06-12 12:39:00,"13% of Maltese citizens accessed or streamed content from illegal online sources to watch sports, study finds    13% of Maltese citizens accessed or streamed content from illegal...",neutral,0.5001638531684875
Melita’s environmental and health and safety standards shine in ISO audit,2024-06-11 14:33:00,"Melita Limited continues to set the highest operational standards with its commitment towards greener and safer work practices, key to its latest successful ISO certification audit. Melita remains the...",positive,0.742270827293396
Malta to feature in the Startup Genome report,2024-06-10 22:29:00,"Malta Enterprise, shall be advancing its efforts to promote the local startup and scaleup ecosystem via a collaboration with Startup Genome - who publish the yearly 2024 Global Startup Ecosystem...",positive,0.657626748085022
Cashless payments even more accessible with BOV mobilePOS,2024-06-10 22:14:00,"In a bid to offer greater convenience and accessibility to both customers and merchants, while modernising the payments landscape, Bank of Valletta has just unveiled its latest innovation; the BOV...",positive,0.757720410823822
Top five Malta hotels chosen by the ultra-rich,2024-06-07 15:12:00,"Malta is fast becoming an attractive location for the ultra-rich, both in terms of business and pleasure.  But have you ever wondered where millionaires and billionaires choose to stay while in...",neutral,0.8985267281532288
Customer success story: How iMovo improved Meeting Point International’s data-driven decision making,2024-06-06 10:04:00,"A glimpse into Meeting Point International: Meeting Point International is a premier destination management company based in the Bavarian capital of Munich, Germany, operating in 40 destinations...",neutral,0.76075679063797
Uniting for sustainability in remote gaming,2024-06-05 13:38:00,"The ESG agenda is becoming central to business philosophy, not least in the remote gaming industry. ESG, which stands for Environmental, Social and Governance, is a framework used to assess a...",neutral,0.8760060667991638
HSBC Malta Foundation commemorates 25th anniversary with major tree planting milestone,2024-06-04 13:33:00,Last week HSBC Malta Foundation commemorated its 25th anniversary by inaugurating the second phase of renovations at the newly revitalised Xrobb l-Għaġin Nature Park. To mark this...,positive,0.7690019011497498
BOV selects Databricks to implement state-of-the-art intelligence platform,2024-06-04 13:30:00,"Bank of Valletta is excited to announce a strategic partnership with Databricks, the data and AI company and pioneer of the Data Intelligence Platform. This collaboration marks a significant milestone...",positive,0.8924582600593567
Trane hosts seminar on cutting-edge electric solutions for local engineers and maintenance personnel,2024-06-04 10:56:00,"Trane, a leading provider of cooling, heating, and refrigeration systems, recently held an informative seminar at the Westin Dragonara Resort. The event, titled ""Holistic Electric Solutions' was...",positive,0.6639412045478821
Universal Cement wins coveted awards at the Malta Building and Construction awards,2024-06-03 14:07:00,"A leading distributor and supplier of bulk cement, concrete admixtures and aggregates, celebrates a remarkable 12-year journey in the construction industry. Established in 2012, the company has become...",positive,0.9335970878601074
Malta: Are capital markets facilitating business growth?,2024-06-02 08:00:00,"Last month PKF delegates, along with other FinanceMalta members, attended the Association for Financial Markets in Europe (AFME) conference in Amsterdam. This brings 300 delegates to discuss and...",neutral,0.5777917504310608
HSBC Malta’s 2024 Student Campaign launched,2024-05-31 09:32:00,"HSBC Malta have just launched their annual Student Campaign, offering all students who intend to continue their studies after 16 years of age, an HSBC Student Account that comes with a cashback offer...",neutral,0.7113829851150513
2023 described as a game-changing year for GO plc,2024-05-30 14:34:00,"""2023 marked a pivotal moment in the Group's journey towards restoring pre-pandemic norms. Amidst the energy and renewed hope across the business landscape, GO continued to demonstrate resilience and...",positive,0.9476900100708008
Trident Estates plc doubles profit in 2024,2024-05-30 14:23:00,"The year under review has seen continuing interest in Trident Park, leading to a further increase in occupancy levels. This momentum, coupled with changes in tenancies across other properties, has...",positive,0.9460579752922058
New scheme supports local enterprises’ employees earn Skills Pass,2024-05-30 09:54:00,"Malta Enterprise, in collaboration with the Institute of Tourism Studies (ITS), is launching an initiative to support the tourism and hospitality industry retain existing non-European employees that...",positive,0.8856552839279175
Farsons Group registered steady growth despite competitive market pressures,2024-05-30 09:12:00,"The Board of Directors of the Farsons Group announced the financial results for the fiscal year ending January 31, 2024. The Farsons Group has navigated the economic and competitive environment...",positive,0.8923614621162415
Bank of Valletta enhancing close business ties between Malta and France,2024-05-29 16:12:00,"'Malta economic performance is standing out when compared to European counterparts and as the major financial institution in the country, we strongly believe in our critical role in continuing to...",positive,0.9403144121170044
Malta’s Universal Air announces groundbreaking pilot scholarship program,2024-05-29 11:42:00,"Universal Air is delighted to unveil its new pilot scholarship scheme aimed at easing access to aviation careers, while supporting the local community in Malta. Applications for the pilot...",positive,0.8348617553710938
