headline,date,time,description,sentiment,sentiment_score
Lithuania still committed to joining the euro in 2015,"January 27, 2014",2:19 pm CET,Two reports to be published in June to assess country’s candidacy.,neutral,0.6362157464027405
Talks with Greece awkwardly timed,"January 22, 2014",10:50 pm CET,Scrutiny coincides with Council presidency.,neutral,0.5792047381401062
A new model for new Europe,"January 22, 2014",8:45 pm CET,Central and eastern Europe is well placed to benefit from economic trends in Asia,neutral,0.8430488705635071
Lautenschläger appointed to ECB board,"January 21, 2014",8:38 am CET,Vice-president of German Bundesbank to begin on Monday.,neutral,0.9115501642227173
MEPs lower tone over troika,"January 17, 2014",6:23 am CET,Draft report says troika’s policies helped save debt-ridden countries from a disorderly exit from the eurozone,negative,0.7442578673362732
MEPs approve German ECB board nominee,"January 16, 2014",10:20 am CET,Member states expected to appoint Sabine Lautenschläger before ECB meeting next week,neutral,0.8929997086524963
Spain to exit bail-out programme,"January 15, 2014",9:50 pm CET,Spain will on Thursday (23 January) exit the formal programme of austerity measures and structural reforms imposed on the country as part of a €41.4 billion bail-out to recapitalise its stricken banking sector.,neutral,0.6514793038368225
The new inequality,"January 15, 2014",8:45 pm CET,Expansionary monetary policy and other steps taken in the name of  avoiding another Great Depression may end up  exacerbating social  polarisation,neutral,0.8050335049629211
Rehn defends crisis response before MEPs,"January 13, 2014",4:25 pm CET,,neutral,0.9050132036209106
ECB keeps rates on hold,"January 9, 2014",9:02 am CET,,neutral,0.8087111711502075
Greek ministers strike a positive note at start of presidency,"January 8, 2014",11:01 pm CET,,positive,0.9292920827865601
Negotiations begin on decision-making powers for bank bail-outs,"January 8, 2014",10:54 pm CET,,neutral,0.8957827687263489
ECB to meet amid southern eurozone fears,"January 8, 2014",10:30 pm CET,,neutral,0.7279086709022522
MEPs take aim at troika,"January 8, 2014",10:10 pm CET,,negative,0.7162761688232422
Danièle Nouy – Ideal candidate,"January 8, 2014",8:30 pm CET,Profile of the chair of the supervisory board of the Single Supervisory Mechanism,neutral,0.8654573559761047
Latvia prepares to join euro,"December 30, 2013",7:13 am CET,Eurozone membership on 1 January has inspired much concern and opposition,neutral,0.8692976832389832
EU leaders tackle defence,"December 19, 2013",11:27 am CET,Defence issues getting an airing at an EU summit for the first time in eight years.,neutral,0.8376757502555847
Banking disunion?,"December 18, 2013",10:57 pm CET,How much do Europe’s central bankers earn?,negative,0.6750118732452393
Finance ministers warned against undermining bank resolution fund,"December 18, 2013",10:53 pm CET,Compromise would slow decision-making process.,negative,0.6948116421699524
Draghi calms fears over risk of deflation,"December 18, 2013",10:51 pm CET,ECB president addresses MEPs.,positive,0.36034420132637024
Ireland exits bailout programme,"December 18, 2013",10:33 pm CET,Tough budget still planned for this year.,neutral,0.8225827217102051
Financial earthquake,"December 18, 2013",8:55 pm CET,Banking regulations still have a long way to go to secure  order and stability,neutral,0.9266955256462097
Finance ministers reach deal on bank bailouts,"December 18, 2013",8:28 pm CET,Member states’ position is very different from that adopted by MEPs.,positive,0.4142254889011383
Germany’s numbers game,"December 18, 2013",8:25 pm CET,Jörg Asmussen teaches a political lesson. Jörg Asmussen’s decision to leave the executive board of the European Central Bank to become deputy minister for employment and social …,neutral,0.8559864163398743
Central bankers’ salaries,"December 18, 2013",7:10 pm CET,"The figures Eurozone unless specified.  2012 figure unless specified. Figure provided by the central bank unless specified. AUSTRIA Claus Raidl €286,000* *Salary cannot exceed that of the …",neutral,0.8752745985984802
Governorships should be kept under review,"December 18, 2013",7:10 pm CET,"Despite an extraordinary increase in cross-border co-operation, there are still 28 national banks each with a national bank governor.",neutral,0.9195036888122559
EU revises rules on bank deposit guarantees,"December 18, 2013",2:45 am CET,"Banks required to fund improved schemes protecting deposits of up to €100,000",neutral,0.8836275935173035
EU edges closer to deal on bank bailout fund,"December 18, 2013",1:09 am CET,Finance ministers reach compromise on how to deal with failing banks.,positive,0.853721559047699
MEPs take a strong line on bank fund,"December 17, 2013",12:44 pm CET,Member states warned that MEPs will refuse to give final say over winding-up banks to national politicians.,neutral,0.8233435750007629
Member states appoint Nouy to chair bank supervisor,"December 16, 2013",10:58 am CET,"Nouy has worked on banking supervision at the French, European and international level",neutral,0.9417911171913147
"New ECB board member should be a woman, says Bowles","December 16, 2013",7:10 am CET,Departure of Asmussen revives debate over female representation at ECB,neutral,0.9171311855316162
Ireland exits bailout programme,"December 16, 2013",3:22 am CET,Austerity measures to continue into 2014 as government tries to rein in budget deficit.,neutral,0.8225827217102051
Deal agreed on bank bailout rulebook,"December 12, 2013",6:10 am CET,Investors and banks to fund bailouts reinforcing protection for depositors and taxpayers,positive,0.5026585459709167
MEPs cry foul over Council plans for banking union that bypass EU,"December 11, 2013",11:05 pm CET,Text sets up single bank resolution authority by intergovernmental treaty.,negative,0.9276556372642517
Two countries stand firm against the sharing of tax information,"December 11, 2013",10:51 pm CET,Luxembourg and Austria block proposal.,neutral,0.6012730598449707
Backing for Greek 2014 budget,"December 11, 2013",10:10 pm CET,"The Greek parliament approved the draft 2014 budget by a slender margin late on Saturday (7 November), following five days of heated debate.",neutral,0.8934440612792969
The end of rapid growth in the Middle Kingdom?,"December 11, 2013",9:05 pm CET,"China’s economic boom has been extraordinary, but it may not last",neutral,0.7775291204452515
The German scapegoat,"December 11, 2013",8:40 pm CET,Stronger domestic demand in Germany would benefit other countries in surplus four times more than the eurozone’s peripheral countries,neutral,0.6538714170455933
Ministers in renewed push for banking union,"December 11, 2013",8:30 pm CET,,positive,0.6383295655250549
What’s the problem with advanced economies?,"December 11, 2013",4:58 am CET,,neutral,0.6952356100082397
Another way to make finance safer,"December 11, 2013",2:00 am CET,,neutral,0.868484377861023
Ministers delay final deal on bank rescue authority,"December 10, 2013",8:47 pm CET,,negative,0.6750943064689636
Croatia deficits under scrutiny,"December 10, 2013",10:53 am CET,,negative,0.9034296274185181
Lenders tell Greece to pick up the pace on reforms,"December 9, 2013",3:04 pm CET,,neutral,0.7587695121765137
Greek parliament adopts 2014 budget,"December 9, 2013",5:36 am CET,Negotiations with international creditors over budget and reforms to resume this week,neutral,0.9251304864883423
ECB keeps rates at record low,"December 5, 2013",6:54 am CET,"Inflation to stay low for prolonged period, Draghi says.",negative,0.5782821178436279
Countdown to compromise on EU banking union rules,"December 4, 2013",11:02 pm CET,Trilogue negotiators race to agree bank rules.,neutral,0.664577305316925
Who should lead the global economy?,"December 4, 2013",8:55 pm CET,Leadership can easily turn into a poisoned chalice,neutral,0.9296413064002991
Divisions persist over finer details of single resolution,"December 4, 2013",7:30 pm CET,The European Union’s planned bank resolution authority will be high on the agenda when finance ministers from the eurozone and from the entire EU meet on Monday …,negative,0.9496103525161743
ECB battles with spectre of deflation,"November 27, 2013",10:45 pm CET,Governing council will consider whether to follow up on cut in interest rates with further economy-boosting measures.,negative,0.6542971730232239
Embarrassing results for EU in tax transparency report,"November 27, 2013",10:15 pm CET,Cyprus and Luxembourg flout transparency rules,negative,0.9002807140350342
Cross-border tax avoidance,"November 27, 2013",10:05 pm CET,The European Commission on Monday (25 November) moved to clamp down on companies in the European Union that avoid paying corporate taxes by exploiting differences between member states’ tax regimes.,neutral,0.9147220849990845
Commission moves to close corporate tax loopholes,"November 25, 2013",10:11 am CET,Proposal would make it easier for authorities to tax transfers between subsidiary and parent companies.,neutral,0.6627052426338196
Northern Europe’s drag on the world economy,"November 24, 2013",2:35 am CET,The eurozone will produce a huge surplus this year at a time when southern Europe (and the global economy) need a boost in demand.,negative,0.8975450992584229
Luxembourg and Cyprus ranked last in OECD report on tax transparency,"November 22, 2013",10:13 am CET,The two EU member states have not implemented an international standard on information exchange.,negative,0.9525113105773926
Cypriot president seeks to reassure Commission over reforms,"November 20, 2013",10:55 pm CET,Anastasiades to hold talks with Barroso.,neutral,0.564007043838501
MEPs approve EU’s long-term budget,"November 20, 2013",10:52 pm CET,Agreement also given  to budget for 2014.,positive,0.530604898929596
Member states play down national budget reviews,"November 20, 2013",10:30 pm CET,Finance ministers to discuss findings on Friday,negative,0.6466079354286194
Delusional Germany,"November 20, 2013",9:25 pm CET,Three illusions are responsible for the German public’s growing aversion to European integration,neutral,0.5164842009544373
A desperate attempt to change a done deal,"November 20, 2013",6:10 pm CET,The attempt by MEPs last week to sneak language on macro-economic conditionality into a compromise on cohesion policy with the member states was not classy. It was …,neutral,0.6226052045822144
MEPs approve EU’s long-term budget,"November 19, 2013",8:26 am CET,Vote ends months of tough negotiations with member states on spending plan for 2014-20.,positive,0.530604898929596
Finance ministers delay deal on bank bailouts,"November 15, 2013",4:31 pm CET,But member states remain confident of reaching a compromise in December.,negative,0.7986193299293518
Split over next steps towards banking union,"November 13, 2013",10:52 pm CET,German coalition talks hold up agreement.,neutral,0.7110076546669006
Commission’s economic priorities,"November 13, 2013",10:15 pm CET,"The European Commission kicked off the European Semester of economic co-ordination yesterday, publishing its economic priorities for 2014 as well as a review of potential imbalances in the EU economy.",neutral,0.9193712472915649
Budget differences overcome as MEPs prepare to vote,"November 13, 2013",10:05 pm CET,Compromise found on budget shortfall in 2013,negative,0.47888416051864624
Minor shifts between headings paved way for budget agreement,"November 13, 2013",9:55 pm CET,Commitments increase by €77.3million,neutral,0.5034791827201843
Another century of decline for UK?,"November 13, 2013",9:05 pm CET,The belief that the UK can go it alone is a fantasy that  will accelerate the country’s decline,negative,0.7471145391464233
European banking dis-union,"November 13, 2013",9:00 pm CET,Europe’s financial markets are heading more towards  renationalisation than banking union,neutral,0.9380631446838379
EU agrees 2014 budget,"November 12, 2013",2:32 am CET,,neutral,0.8791765570640564
Troika completes Irish review,"November 8, 2013",9:59 am CET,,neutral,0.8744257688522339
"De Gucht disputes tax demand of €900,000","November 8, 2013",3:43 am CET,,neutral,0.8790200352668762
ECB cuts rates to record low,"November 7, 2013",7:00 am CET,,negative,0.8444198966026306
National budgets under Commission scrutiny,"November 6, 2013",10:56 pm CET,,neutral,0.9278973937034607
French eco-tax on heavy vehicles sparks protests,"November 6, 2013",9:40 pm CET,,negative,0.9046190977096558
The slow road to recovery,"November 6, 2013",9:20 pm CET,Slight growth predicted for 2014 and 2015,neutral,0.7743379473686218
Europe’s elusive growth consensus,"November 6, 2013",9:00 pm CET,One of the brakes on Europe’s recovery is a lack of desire for growth,neutral,0.653087854385376
Rehn forecasts slow economic growth,"November 5, 2013",7:17 am CET,"Commission predicts growth of 1.9% in 2015, but unemployment to remain high.",negative,0.9545140266418457
German parties agree outlines of Europe policy,"October 31, 2013",8:00 am CET,"Putative coalition agreement backs financial transaction tax, common resolution fund for ailing banks.",neutral,0.7715039253234863
Disentangling a tug-of-war,"October 30, 2013",10:20 pm CET,Negotiations on the European Union’s budget for next year  are heading for a showdown in the coming weeks. We cut through the complexities to explain what is at stake.,neutral,0.7420732975006104
MEPs approve €2.7 billion budget top-up,"October 24, 2013",9:09 am CET,Extra funds needed to avert disruption of EU business.,neutral,0.8623508214950562
MEPs to vote on extra budget funds,"October 23, 2013",10:40 pm CET,Emergency vote to add €2.7bn to 2013 budget.,neutral,0.9191597104072571
Secrets of life,"October 23, 2013",8:15 pm CET,The European Economic and Social Committee is so accustomed to being criticised for living beyond its sell-by date that it is now looking to pass on to …,neutral,0.8918596506118774
MEPs to vote on extra budget funds,"October 23, 2013",3:05 am CET,Commission appeals to MEPs to avoid ‘payment gap’ by holding emergency vote on €2.7 billion in additional money.,neutral,0.9191597104072571
The Federal Reserve’s captive minds,"October 21, 2013",9:30 am CET,"How can we expect these governors to be independent from bankers when they have lived, breathed, and eaten the banking perspective for their entire careers?",neutral,0.8145743608474731
Parliament delays budget vote,"October 18, 2013",6:08 am CET,Political group leaders postpone vote on long-term budget until next month after ‘provocation’ by member states.,negative,0.8070136904716492
Commission plans to harmonise VAT returns,"October 16, 2013",10:50 pm CET,Plan to replace all existing VAT returns with a single EU declaration.,neutral,0.8139777183532715
Here comes trouble?,"October 16, 2013",8:55 pm CET,"International financial institutions are trying to put a positive spin on prospects for the global economy, but  serious risks remain",neutral,0.7280042171478271
Sowing confusion?,"October 16, 2013",8:55 pm CET,How credible are the IMF’s flagship World Economic Outlook forecasts?,neutral,0.7954007983207703
Ministers put final touches to single banking supervisor,"October 15, 2013",3:06 pm CET,EU bank supervisor is ‘first pillar’ of proposed banking union.,neutral,0.8573970198631287
UK businesses draw up wish list of cuts to EU ‘red tape’,"October 15, 2013",3:31 am CET,Cameron’s business taskforce outlines areas for EU to repeal existing rules and adopt new ones.,neutral,0.7397565245628357
Member states approve extra €4 billion for EU budget,"October 14, 2013",8:00 am CET,Approval paves way for adoption of annual and long-term budgets by MEPs next week.,positive,0.8579393029212952
"Ireland to exit bailout in mid-December, says PM","October 14, 2013",6:00 am CET,Ireland will be the first eurozone country to exit an EU-sponsored bailout programme.,neutral,0.7433486580848694
Finance ministers search for bank rescue fund guarantees,"October 9, 2013",10:05 pm CET,Questions about status of non-eurozone banks Portugal on track for next bail-out instalment.,neutral,0.7039701342582703
Ireland and Portugal to publish their draft budgets for 2014,"October 9, 2013",10:00 pm CET,"The governments of Ireland and Portugal are expected to publish the details of their national budgets for 2014 on Tuesday (15 October), the same day that Italy will submit its budget for scrutiny by the European Commission.",neutral,0.9397119283676147
Reza Moghadam – The third man’s man,"October 9, 2013",9:20 pm CET,Profile of the director of the International Monetary Fund’s European department,neutral,0.8547183275222778
The paradox of central bank co-operation,"October 9, 2013",8:50 pm CET,"Crises increase demand for central bank co-operation, but also dramatically increase the costs of co-operation.",neutral,0.921035885810852
Notes from a small island,"October 9, 2013",8:45 pm CET,The remedies imposed on Cypriot banks  by the European Union and the International  Monetary Fund are not good precedents  for helping banks in difficulty,neutral,0.785456120967865
The end of convergence?,"October 7, 2013",7:45 am CET,"The convergence between the developed and emerging markets is likely to continue, but not at the pace seen since the financial crisis.",neutral,0.7811275720596313
Deadline approaching for draft national budgets,"October 2, 2013",10:58 pm CET,,neutral,0.9183201193809509
Commission request for more money will re-ignite budget quarrel,"October 2, 2013",10:00 pm CET,,negative,0.5422337055206299
Social scoreboard to be part of budget reviews,"October 2, 2013",7:16 pm CET,,neutral,0.9453136920928955
ECB holds interest rates,"October 2, 2013",7:56 am CET,,neutral,0.9171760082244873
European markets calm despite US shutdown,"October 1, 2013",5:02 am CET,,negative,0.3826136589050293
Europe’s Japan?,"September 28, 2013",5:00 am CET,,neutral,0.8977705240249634
Fight continues over €4bn shortfall in 2013 budget,"September 25, 2013",10:58 pm CET,"1,800 changes proposed to 2014 budget plan.",negative,0.9611834287643433
Europe’s industrial performance drops,"September 25, 2013",10:57 pm CET,EU falls behind global competitors.,positive,0.7634902596473694
Germany ready to relent on single resolution mechanism,"September 18, 2013",10:59 pm CET,Demand for treaty change may ease.,neutral,0.6770108342170715
Searching for the promised land,"September 18, 2013",9:40 pm CET,"Critics of Germany suggest that its economic model is not sustainable for the rest of Europe, but a record of economic reform should not be ignored",neutral,0.8850712776184082
The birth of fiscal unions,"September 18, 2013",9:35 pm CET,"Considering the lessons of a failed union between Russia and France, and other European attempts at unions created in an emergency",neutral,0.8707312941551208
Emerging markets’ euro nemesis,"September 16, 2013",9:49 am CET,Austerity in Europe is the cause of Asia’s currency problems – and suggests that a global recovery will be weak and imbalanced.,neutral,0.632306694984436
Eurogroup releases €1.5 billion for Cyprus,"September 13, 2013",10:03 am CET,Troika confirms the country’s adjustment programme is on track.,neutral,0.86994868516922
A cautionary tale,"September 12, 2013",1:00 pm CET,"Because of austerity, Europeans may have to live through the type of disastrous period experienced by Latin Americans, Asians and Africans in the 1980s and 1990s.",neutral,0.8152871131896973
European Parliament approves single banking supervisor,"September 12, 2013",8:12 am CET,European Central Bank gains new powers to monitor health of European banking sector.,neutral,0.8603555560112
ECB agrees to disclose details of talks with troubled banks,"September 11, 2013",11:01 pm CET,Bank’s minutes to remain confidential.,neutral,0.7812443375587463
Lawyers throw doubt on EU financial tax,"September 11, 2013",10:56 pm CET,Commission disputes opinion from the legal service of the Council of Ministers.,negative,0.8033795356750488
Financial transaction tax ‘breaks EU law’,"September 10, 2013",10:11 am CET,Lawyers say Commission’s proposal is illegal.,negative,0.6924371123313904
€4bn budget shortfall hampers progress in 2014 negotiations,"September 4, 2013",10:10 pm CET,Vote on draft budget expected next month,negative,0.9713920950889587
EU needs simple system for sharing banking information,"September 4, 2013",10:05 pm CET,Member states’ finance ministers will meet in Vilnius next week (13-14 September) to discuss growth and financial stability and the fight against tax fraud and tax evasion.,neutral,0.8875147104263306
Third bail-out for Greece?,"September 4, 2013",10:00 pm CET,Estimates suggest another €11bn needed,neutral,0.7154882550239563
Yves Mersch – Memory man,"September 4, 2013",9:15 pm CET,Profile of ECB’s executive board member,neutral,0.8576195240020752
The post-crisis global economy in three words,"September 4, 2013",9:00 pm CET,"The past five years have accelerated the redrawing of the economic map, rebalanced global consumption and shown the global economy’s  resilience.",neutral,0.8560972809791565
Fear and loathing in St Petersburg,"September 4, 2013",8:40 pm CET,Don’t be fooled by the G20 hype,neutral,0.545877993106842
Shear madness from Vassiliou,"September 4, 2013",8:20 pm CET,"Androulla Vassiliou complains about the effect of the hair-cut imposed on savings held in Cypriot banks. Androulla Vassiliou, the European commissioner for culture, sport and multilingualism, is …",neutral,0.8226233124732971
Gender balance finally adds up for ECB,"September 4, 2013",8:05 pm CET,"The ECB has decided to set targets for the number of women in the bank’s management. Better late than never, perhaps. The European Central Bank took a …",positive,0.7994435429573059
The Federal Reserve in a time for doves,"August 25, 2013",3:00 am CET,"Who would be a better head of the Federal Reserve, Lawrence Summers or Janet Yellen?",neutral,0.7234171628952026
Did taxes cause the financial crisis?,"August 24, 2013",11:00 am CET,The tax system encouraged financial firms to overload themselves with debt.,neutral,0.6176455616950989
Whose economic reform?,"August 22, 2013",4:00 am CET,"If there are varieties of capitalism, what should the priorities for structural reform be?",neutral,0.8486359715461731
A weaker euro for a weaker Europe,"August 21, 2013",5:00 am CET,The weakness of the Chinese currency has been a major contributor to southern Europe’s economic malaise.,positive,0.4926106035709381
Has austerity failed in Europe?,"August 20, 2013",11:00 am CET,,negative,0.8745094537734985
ECB keeps rates on hold,"August 1, 2013",6:52 am CET,,neutral,0.8087111711502075
Cyprus ‘on track’ with economic reforms,"July 31, 2013",10:13 am CET,,positive,0.7504301071166992
IMF warns on Greece debt,"July 31, 2013",9:57 am CET,,negative,0.671848714351654
Banking reform’s fear factor,"July 29, 2013",8:00 am CET,,neutral,0.866222083568573
Greece to get next loan tranche,"July 26, 2013",7:58 am CET,,neutral,0.8935650587081909
German banks on top,"July 24, 2013",9:05 pm CET,Germany’s position on the banking union is a ploy to hide its subsidies to German banks and industry.,neutral,0.8964555859565735
Rehn demands more reforms,"July 19, 2013",8:24 am CET,European commissioner for economic and monetary affairs calls for EU member states to improve finances and help SMEs.,neutral,0.8252356648445129
Member states to back budget cuts,"July 17, 2013",10:55 pm CET,Council seeks cuts to Commission proposal but MEPs will demand higher figures.,neutral,0.5696455836296082
Talks turn to helping small businesses,"July 17, 2013",10:50 pm CET,Ministers to discuss ways to boost the economy.,neutral,0.6057636141777039
Our shrinking equity markets,"July 17, 2013",9:20 pm CET,European markets are  relying too heavily on  overseas investors to  provide long-term investment,negative,0.9494264721870422
Europe’s zombie banks,"July 17, 2013",8:45 pm CET,Europe has too many banks with no sustainable way to turn a profit.,neutral,0.7757723331451416
Experts reach agreement on 2014 budget,"July 15, 2013",9:46 am CET,Deal for €142 billion annual budget to be endorsed by national ambassadors on Thursday.,positive,0.8467334508895874
Golden slumbers,"July 13, 2013",11:00 am CET,Should economic policymakers worry about the plunge in gold prices?,neutral,0.9193927049636841
Member states seek more cuts to draft 2014 budget,"July 10, 2013",11:05 pm CET,"Fresh from tussle over the EU’s long-term budget, the three main institutions prepare for tough talks on 2014 annual budget.",negative,0.5588731169700623
Barnier plans to give Commission the final say on a bank wind-up or rescue,"July 10, 2013",10:56 pm CET,Building draft fund would take a decade.,neutral,0.9334118962287903
Greece must work hard to keep reforms on track,"July 10, 2013",10:49 pm CET,Finance ministers approve next part of Greek bail-out.,neutral,0.6693324446678162
The risk of European centralisation,"July 10, 2013",9:45 pm CET,The economic measures that would implicitly support European political union have turned out to be dangerous,neutral,0.7756074666976929
Clock is ticking for Slovenia,"July 10, 2013",8:10 pm CET,"Olli Rehn, the European commissioner for economic and monetary affairs and the euro, had words of warning for Slovenia after Monday’s meeting of eurozone finance ministers.  He …",neutral,0.6832715272903442
Barnier plans 300-strong bank resolution agency,"July 10, 2013",6:10 am CET,Commissioner does not rule out future treaty change but says single resolution mechanism should not wait.,neutral,0.8743802309036255
Finance ministers approve €7.3 billion in top-up funds,"July 9, 2013",8:22 am CET,Additional money for EU’s 2013 budget part of wider deal on long-term budget.,positive,0.7077978849411011
Finance ministers approve €4bn for Greece,"July 8, 2013",3:40 pm CET,Further loans will be granted in August and October subject to the implementation of reforms; Olli Rehn issues Slovenia warning; IMF says eurozone still vulnerable.,positive,0.7312749028205872
Deal reached on Greek bail-out,"July 8, 2013",4:50 am CET,Eurozone finance ministers expected to approve next loan instalment later today.,positive,0.899511456489563
Bank resolution plan to be unveiled on Wednesday,"July 5, 2013",9:40 am CET,European Commission to propose single mechanism but months of negotiation lie ahead.,neutral,0.9372486472129822
ECB in shock interest rate announcement,"July 4, 2013",7:06 am CET,Mario Draghi takes unprecedented step of declaring that rates will remain low in the coming months as rates are kept on hold again.,negative,0.6773714423179626
Renewed bail-out concerns over Greece and Portugal,"July 3, 2013",11:02 pm CET,Greece awaiting approval for €8.1bn pay-out; Portugal’s bond markets react to political instability.,negative,0.943592369556427
A budget deal for all?,"July 3, 2013",10:57 pm CET,"MEPs back compromise deal on long-term budget but member states held upper hand in the talks.FlexibilityMid-term reviewSchedule2013 paymentsRebatesFunding, flexibility and frontloading",neutral,0.9001330137252808
Back to the brink?,"July 3, 2013",9:10 pm CET,"Cracks are beginning to appear in the global economy, and the pressure on central banks is growing",negative,0.5203630924224854
"On the mend, but still ill","July 3, 2013",9:05 pm CET,"The past year has brought three major advances in efforts to shore up the euro, but the architecture of the system remains incomplete and the ECB’s shock weapon has been weakened",positive,0.47312963008880615
Much ado about colouring,"July 3, 2013",8:25 pm CET,"As Europe’s leaders sat around a conference table on Thursday night discussing the EU’s budget for 2014-20, David Cameron, the prime minister of the United Kingdom, must …",neutral,0.9223193526268005
Austerity claims another victim,"July 3, 2013",8:00 pm CET,,neutral,0.46523234248161316
Warm welcome for banking union plans,"July 3, 2013",7:12 pm CET,,positive,0.829232394695282
Rebates,"July 3, 2013",6:16 pm CET,,neutral,0.914262592792511
2013 payments,"July 3, 2013",6:15 pm CET,,neutral,0.9148774147033691
Schedule,"July 3, 2013",6:14 pm CET,,neutral,0.8925501704216003
"Funding, flexibility and frontloading","July 3, 2013",6:13 pm CET,,neutral,0.8320637345314026
Mid-term review,"July 3, 2013",6:11 pm CET,.,neutral,0.9358802437782288
Flexibility,"July 3, 2013",6:10 pm CET,"Last week’s compromise deal foresees flexibility both on the budgeted commitments (ie, undertakings to pay) and on actual payments.  Unused payment appropriations in any budget year can …",neutral,0.8475901484489441
Eurogroup to meet Portugal’s new finance minister,"July 2, 2013",5:20 am CET,Vítor Gaspar resigns warning of “enormous” challenges ahead; Maria Luís Albuquerque to be sworn in later.,neutral,0.9175717830657959
British banks’ comedy of terrors,"July 1, 2013",6:53 am CET,British regulators are advocating that British banks should have paper-thin cushions against losses.,neutral,0.5667029619216919
Row over EU budget overshadows deals,"June 27, 2013",8:14 pm CET,"Agreements on long-term EU budget, banking resolution and youth unemployment soured by UK attempt to seek reassurance on rebate.Deal reached on rules for failing banksEU leaders strike deal on 2014-20 budget",negative,0.9154793620109558
"MEPs ‘extremely concerned’ at slow pace on banking union, says Schulz","June 27, 2013",1:43 pm CET,European Parliament president tells member states’ leaders that lack of progress endangers citizens’ trust in democratic institutions.,negative,0.9300684332847595
Majority support emerges in Parliament for budget deal,"June 27, 2013",11:44 am CET,Centre-right and centre-left endorse compromise deal while Liberals reserve judgement.EU leaders strike deal on 2014-20 budget,positive,0.509255588054657
EU leaders strike deal on 2014-20 budget,"June 27, 2013",3:26 am CET,Member states make last-minute concessions to secure MEPs’ backing.,positive,0.6161625385284424
MEPs demand more on 2014-20 budget,"June 26, 2013",11:05 pm CET,MEPs are adamant that member states must make more concessions.,neutral,0.6169038414955139
Cut-backs proposed in EU’s 2014 budget,"June 26, 2013",11:00 pm CET,"Proposal to cut spending next year by 5.8%, with regional development the hardest-hit area.",neutral,0.7082260847091675
Rescue fund’s accounts show extent of help to Spanish banks,"June 26, 2013",10:53 pm CET,ESM board approves 2012 annual report.,positive,0.6270070672035217
Ministers back plan to tackle VAT fraud,"June 26, 2013",10:52 pm CET,Energy companies back ministers’ deciision.,neutral,0.78170245885849
Deal reached on rules for failing banks,"June 26, 2013",8:58 pm CET,Finance ministers agree on EU-wide model for imposing losses on creditors to pay for bank rescues.,neutral,0.44466954469680786
The regional innovator,"June 26, 2013",8:25 pm CET,Helping the EU’s regions make the most of  funding opportunities,neutral,0.6869708299636841
Schulz says Parliament would reject deal on long-term budget,"June 25, 2013",7:57 am CET,"Compromise deal struck last week stands no chance in the European Parliament, its president says.",negative,0.7389102578163147
Bank resolution talks break up without deal,"June 21, 2013",9:34 pm CET,Finance ministers to meet again on Wednesday.,neutral,0.7597262859344482
Member states support tough stance on French economy,"June 21, 2013",10:25 am CET,"Italy, Latvia, Lithuania, Hungary and Romania leave excessive deficit procedure.",positive,0.6332498788833618
Ministers back plan to tackle VAT fraud,"June 21, 2013",9:38 am CET,Legislation is designed to close loopholes until system is overhauled.,neutral,0.78170245885849
MEPs cast doubt on budget deal,"June 20, 2013",5:35 am CET,Agreement announced last night described as “unacceptable” by MEPs; German MEP resigns from his role in negotiations in protest at deal.Deal struck on long-term budget,negative,0.7914385199546814
Ministers look to insulate public from bank rescues,"June 19, 2013",11:02 pm CET,Member states at odds over draft legislation.EU leaders to show commitment to banking union,neutral,0.9055879712104797
EU leaders to show commitment to banking union,"June 19, 2013",10:40 pm CET,European Council next week will focus on bank resolution and recovery rules.,positive,0.7718623876571655
Deal elusive on EU’s long-term budget,"June 19, 2013",9:10 pm CET,Irish push for deal before it hands over presidency of Council of Ministers to Lithuania.,neutral,0.5718130469322205
Europe’s economic group-think,"June 19, 2013",9:05 pm CET,Questions raised at the German constitutional court’s hearing on the legality of the European Central Bank’s efforts to save the eurozone,neutral,0.8857888579368591
From dreams to reality,"June 19, 2013",9:00 pm CET,"Europe has no shortage of great ideas, but there has been a failure to provide the money and support needed to back them up",neutral,0.9194097518920898
Deal struck on long-term budget,"June 19, 2013",3:03 pm CET,,neutral,0.6539366841316223
MEPs call for wide-ranging transaction tax,"June 18, 2013",10:52 am CET,,neutral,0.9498599171638489
Deal reached on markets legislation,"June 17, 2013",2:05 pm CET,,neutral,0.74748694896698
Last-chance talks on EU’s 2014-20 budget,"June 12, 2013",11:02 pm CET,,neutral,0.8534157872200012
The green shoots of solidarity,"June 12, 2013",9:35 pm CET,,neutral,0.9036352634429932
Budget talks set to continue,"June 11, 2013",5:46 pm CET,,neutral,0.8963189721107483
Inflation is still the lesser evil,"June 8, 2013",6:30 am CET,Higher inflation would help to accelerate desperately needed adjustment in Europe’s commercial banks.,neutral,0.6478629112243652
Draghi: ECB did not make mistakes over Greece,"June 6, 2013",9:42 am CET,European Central Bank president refuses to take blame following critical IMF report.,neutral,0.6888740658760071
Latvia on track to join the single currency in 2014,"June 5, 2013",10:30 pm CET,ECB still has concerns over Latvia’s economy,positive,0.4994339346885681
Calls for swift action on bank resolution system,"June 5, 2013",10:15 pm CET,"European commissioners yesterday (5 June) discussed ideas for a system to wind up stricken eurozone banks, in preparation for formal proposals that the Commission is expected to make later this month.",neutral,0.8438394665718079
